,guineu.csv,owlib.csv,prelude.csv,owfs.csv,octave.csv,inkscape.csv,robocode.csv,checker-framework.csv,uwom-server.csv,nsis.csv,zengine.csv,zildo.csv,customsagetv.csv,xfce.csv,carabiner.csv,mesa3d.csv,trinitycore.csv,tencompetence.csv,oorexx.csv,elvishrayrenderer.csv
carabiner.csv,0.53,0.49,0.0,0.0,0.36,0.43,0.44,0.52,0.61,0.41,0.53,0.68,0.43,0.0,0.96,0.0,0.6,0.34,0.32,0.69
checker-framework.csv,0.31,0.26,0.17,0.11,0.11,0.02,0.26,1.0,0.09,0.0,0.13,0.39,0.07,0.43,0.27,0.16,0.09,0.22,0.0,0.15
customsagetv.csv,0.36,0.12,0.0,0.0,0.0,0.0,0.16,0.27,0.15,0.07,0.04,0.24,0.98,0.01,0.0,0.0,0.16,0.18,0.17,0.07
elvishrayrenderer.csv,0.56,0.47,0.0,0.39,0.51,0.37,0.58,0.55,0.54,0.42,0.46,0.53,0.3,0.46,0.27,0.45,0.55,0.25,0.63,1.0
guineu.csv,1.0,0.21,0.12,0.75,0.37,0.0,0.52,0.41,0.09,0.07,0.1,0.37,0.47,0.26,0.06,0.39,0.09,0.06,0.07,0.11
inkscape.csv,0.15,0.2,0.02,0.0,0.26,0.98,0.2,0.1,0.25,0.15,0.51,0.11,0.07,0.0,0.06,0.04,0.24,0.17,0.59,0.28
mesa3d.csv,0.0,0.05,0.3,0.0,0.11,0.11,0.05,0.18,0.45,0.24,0.1,0.11,0.0,0.26,0.06,0.86,0.37,0.17,0.37,0.3
nsis.csv,0.46,0.05,0.0,0.24,0.09,0.13,0.7,0.58,0.09,1.0,0.0,0.57,0.38,0.29,0.52,0.38,0.13,0.44,0.17,0.6
octave.csv,0.59,0.26,0.38,0.47,0.88,0.22,0.4,0.37,0.14,0.16,0.22,0.34,0.67,0.2,0.26,0.43,0.16,0.44,0.04,0.53
oorexx.csv,0.59,0.23,0.17,0.11,0.64,0.58,0.46,0.49,0.48,0.33,0.45,0.5,0.52,0.56,0.44,0.49,0.4,0.39,0.95,0.56
owfs.csv,0.47,0.06,0.09,0.93,0.17,0.11,0.34,0.65,0.31,0.02,0.16,0.41,0.02,0.32,0.17,0.26,0.29,0.1,0.29,0.18
owlib.csv,0.76,0.99,0.0,0.09,0.13,0.48,0.53,0.49,0.5,0.59,0.0,0.65,0.56,0.38,0.58,0.54,0.54,0.58,0.46,0.6
prelude.csv,0.46,0.46,0.98,0.41,0.0,0.32,0.17,0.56,0.47,0.0,0.62,0.46,0.21,0.54,0.46,0.52,0.46,0.67,0.46,0.37
robocode.csv,0.73,0.28,0.71,0.57,0.4,0.19,1.0,0.56,0.45,0.1,0.21,0.56,0.53,0.6,0.31,0.51,0.47,0.39,0.2,0.39
tencompetence.csv,0.22,0.47,0.33,0.0,0.17,0.47,0.11,0.36,0.33,0.18,0.65,0.29,0.27,0.39,0.21,0.54,0.35,0.99,0.36,0.35
trinitycore.csv,0.4,0.1,0.34,0.55,0.35,0.27,0.52,0.19,0.86,0.29,0.36,0.4,0.73,0.19,0.34,0.43,0.91,0.57,0.67,0.5
uwom-server.csv,0.39,0.12,0.02,0.11,0.11,0.22,0.55,0.52,0.97,0.02,0.15,0.45,0.77,0.02,0.3,0.24,0.86,0.54,0.36,0.37
xfce.csv,0.61,0.62,0.68,0.61,0.4,0.42,0.7,0.7,0.67,0.41,0.58,0.6,0.19,0.98,0.5,0.65,0.68,0.45,0.5,0.61
zengine.csv,0.2,0.21,0.6,0.59,0.74,0.53,0.65,0.73,0.67,0.45,0.96,0.61,0.44,0.64,0.61,0.68,0.67,0.5,0.38,0.36
zildo.csv,0.52,0.27,0.38,0.49,0.06,0.27,0.16,0.0,0.34,0.09,0.16,0.98,0.07,0.39,0.31,0.42,0.33,0.19,0.1,0.39
