,beast-mcmc.csv,jrefactory.csv,jsecurity.csv,sidekar.csv,libopenmetaverse.csv,mobicents.csv,cuberok.csv,jbasic.csv,apertium.csv,exist.csv,wheat.csv,power-architect.csv,bigdata.csv,wsmt.csv,opendvr.csv,icescrum.csv
apertium.csv,0.42,0.44,0.58,0.45,0.45,0.45,0.71,0.47,0.75,0.5,0.89,0.4,0.44,0.46,0.8,0.38
beast-mcmc.csv,0.7,0.5,0.93,0.63,0.45,0.54,0.43,0.5,0.62,0.48,0.86,0.6,0.52,0.53,0.55,0.47
bigdata.csv,0.5,0.5,0.48,0.48,0.44,0.54,0.42,0.43,0.72,0.52,0.37,0.35,0.42,0.48,0.45,0.78
cuberok.csv,0.39,0.38,0.5,0.47,0.49,0.44,0.57,0.43,0.42,0.4,0.6,0.42,0.4,0.35,0.48,0.37
exist.csv,0.49,0.49,0.48,0.4,0.57,0.48,0.38,0.54,0.8,0.45,0.6,0.41,0.39,0.46,0.5,0.47
icescrum.csv,0.59,0.44,0.63,0.49,0.58,0.45,0.53,0.5,0.57,0.53,0.83,0.45,0.45,0.46,0.56,0.55
jbasic.csv,0.57,0.48,0.74,0.55,0.7,0.52,0.48,0.56,0.66,0.57,0.89,0.36,0.55,0.53,0.81,0.48
jrefactory.csv,0.53,0.56,0.68,0.59,0.37,0.58,0.63,0.6,0.73,0.54,0.42,0.33,0.37,0.43,0.92,0.38
jsecurity.csv,0.93,0.68,0.82,0.81,0.55,0.74,0.43,0.76,0.64,0.72,0.5,0.59,0.71,0.45,0.55,0.0
libopenmetaverse.csv,0.36,0.4,0.49,0.51,0.54,0.39,0.47,0.46,0.51,0.5,0.37,0.5,0.46,0.34,0.5,0.39
mobicents.csv,0.6,0.48,0.62,0.59,0.43,0.51,0.46,0.49,0.8,0.53,0.86,0.45,0.47,0.5,0.69,0.55
opendvr.csv,0.46,0.47,0.58,0.58,0.41,0.52,0.67,0.56,0.76,0.46,0.48,0.44,0.48,0.57,0.82,0.39
power-architect.csv,0.38,0.42,0.48,0.47,0.36,0.42,0.41,0.65,0.56,0.42,0.37,0.41,0.44,0.51,0.7,0.35
sidekar.csv,0.45,0.43,0.51,0.51,0.45,0.44,0.41,0.62,0.61,0.48,0.73,0.39,0.41,0.39,0.7,0.39
wheat.csv,0.62,0.93,0.83,0.95,0.4,0.67,0.95,0.0,0.57,0.55,0.52,0.59,0.93,0.55,0.94,0.48
wsmt.csv,0.97,0.86,0.96,0.91,0.94,0.85,0.52,0.75,0.58,0.97,0.62,0.86,0.93,0.61,0.65,0.56
