,beast-mcmc.csv,jrefactory.csv,jsecurity.csv,sidekar.csv,libopenmetaverse.csv,mobicents.csv,cuberok.csv,jbasic.csv,apertium.csv,exist.csv,wheat.csv,power-architect.csv,bigdata.csv,wsmt.csv,opendvr.csv,icescrum.csv
apertium.csv,0.57,0.71,0.53,0.55,0.71,0.69,0.76,0.51,0.04,0.66,0.8,0.7,0.69,0.89,0.91,0.69
beast-mcmc.csv,0.03,0.71,0.78,0.71,0.84,0.62,0.5,0.7,0.73,0.5,0.87,0.86,0.62,0.83,0.8,0.64
bigdata.csv,0.53,0.65,0.96,0.95,0.82,0.68,0.77,0.99,0.78,0.65,0.97,0.79,0.03,0.7,0.98,0.69
cuberok.csv,0.76,1.0,0.88,0.5,0.7,0.67,0.1,0.98,0.92,0.6,0.82,0.75,0.78,0.94,0.86,0.57
exist.csv,0.49,0.6,0.5,0.54,0.65,0.55,0.68,0.7,0.82,0.02,0.77,0.6,0.61,0.93,0.82,0.49
icescrum.csv,0.43,0.65,0.63,0.53,0.73,0.54,0.6,0.43,0.72,0.49,0.86,0.78,0.58,1.02,0.76,0.03
jbasic.csv,0.6,0.64,0.8,0.72,0.78,0.63,0.73,0.09,0.82,0.68,0.97,0.64,0.71,0.76,0.72,0.73
jrefactory.csv,0.73,0.02,0.89,0.76,0.76,0.73,0.76,0.81,0.78,0.67,0.65,0.86,0.67,0.65,0.93,0.69
jsecurity.csv,0.78,0.78,0.03,0.78,0.7,0.75,0.7,0.81,0.72,0.74,0.6,0.82,0.81,0.83,0.72,1.0
libopenmetaverse.csv,0.89,0.84,0.89,0.85,0.03,0.88,0.73,0.95,0.79,0.7,0.82,0.88,0.79,1.01,0.99,0.93
mobicents.csv,0.65,0.7,0.59,0.64,0.66,0.02,0.68,0.59,0.83,0.65,0.71,0.86,0.75,0.83,0.73,0.45
opendvr.csv,0.79,0.61,0.71,0.84,0.91,0.73,0.68,0.61,0.76,0.89,0.61,0.7,0.92,0.84,0.05,0.76
power-architect.csv,0.86,0.69,0.82,0.89,1.0,0.84,0.89,0.86,0.65,0.86,0.92,0.0,0.71,0.62,0.68,0.91
sidekar.csv,0.56,0.83,0.48,0.04,0.68,0.58,0.57,0.65,0.61,0.63,0.72,0.69,0.74,0.95,0.72,0.32
wheat.csv,0.69,0.75,0.73,0.83,0.93,0.73,0.71,0.98,0.82,0.77,0.04,0.73,0.78,0.52,0.76,0.55
wsmt.csv,0.72,0.92,0.88,0.86,0.81,0.8,0.53,0.99,0.83,0.87,0.74,0.82,0.79,0.06,0.57,0.63
