,beast-mcmc.csv,jrefactory.csv,jsecurity.csv,sidekar.csv,libopenmetaverse.csv,mobicents.csv,cuberok.csv,jbasic.csv,apertium.csv,exist.csv,wheat.csv,power-architect.csv,bigdata.csv,wsmt.csv,opendvr.csv,icescrum.csv
apertium.csv,6.0,2.0,5.0,0.0,2.0,0.0,3.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,2.0,4.0
beast-mcmc.csv,0.0,0.0,8.0,3.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,5.0,3.0
bigdata.csv,7.0,1.0,29.0,1.0,0.0,11.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
cuberok.csv,8.0,0.0,11.0,0.0,1.0,0.0,0.0,0.0,7.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0
exist.csv,2.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
icescrum.csv,3.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0
jbasic.csv,3.0,0.0,9.0,1.0,0.0,0.0,3.0,0.0,10.0,10.0,5.0,0.0,0.0,1.0,0.0,7.0
jrefactory.csv,5.0,0.0,11.0,1.0,0.0,0.0,3.0,0.0,4.0,4.0,2.0,0.0,0.0,1.0,1.0,12.0
jsecurity.csv,5.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,50.0
libopenmetaverse.csv,9.0,0.0,11.0,1.0,0.0,0.0,4.0,0.0,8.0,9.0,0.0,0.0,0.0,1.0,6.0,3.0
mobicents.csv,3.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,15.0,7.0,2.0,0.0,0.0,0.0,0.0,1.0
opendvr.csv,20.0,0.0,9.0,1.0,0.0,0.0,4.0,0.0,9.0,10.0,0.0,0.0,0.0,0.0,0.0,2.0
power-architect.csv,8.0,0.0,5.0,1.0,0.0,0.0,4.0,0.0,6.0,10.0,0.0,0.0,0.0,0.0,0.0,2.0
sidekar.csv,12.0,3.0,5.0,0.0,9.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0
wheat.csv,7.0,1.0,6.0,0.0,0.0,0.0,3.0,0.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
wsmt.csv,1.0,0.0,9.0,0.0,0.0,0.0,2.0,3.0,7.0,3.0,2.0,0.0,0.0,0.0,0.0,4.0
