,beast-mcmc.csv,jrefactory.csv,jsecurity.csv,sidekar.csv,libopenmetaverse.csv,mobicents.csv,cuberok.csv,jbasic.csv,apertium.csv,exist.csv,wheat.csv,power-architect.csv,bigdata.csv,wsmt.csv,opendvr.csv,icescrum.csv
apertium.csv,0.48,0.64,0.4,0.72,0.46,0.54,0.33,0.62,0.98,0.53,0.32,0.57,0.69,0.35,0.15,0.44
beast-mcmc.csv,0.98,0.48,0.26,0.44,0.55,0.52,0.58,0.43,0.33,0.67,0.23,0.38,0.59,0.31,0.33,0.44
bigdata.csv,0.48,0.52,0.28,0.74,0.62,0.47,0.6,0.63,0.28,0.51,0.62,0.88,1.0,0.48,0.46,0.43
cuberok.csv,0.44,0.72,0.32,0.72,0.52,0.59,0.93,0.66,0.46,0.69,0.38,0.62,0.84,0.67,0.44,0.57
exist.csv,0.51,0.59,0.44,0.62,0.52,0.59,0.43,0.43,0.25,0.99,0.37,0.68,0.64,0.3,0.24,0.58
icescrum.csv,0.59,0.52,0.35,0.62,0.4,0.61,0.49,0.68,0.34,0.65,0.24,0.53,0.62,0.2,0.3,0.97
jbasic.csv,0.42,0.71,0.23,0.57,0.36,0.58,0.41,0.94,0.27,0.55,0.11,0.69,0.64,0.48,0.34,0.41
jrefactory.csv,0.33,0.99,0.17,0.49,0.67,0.47,0.34,0.55,0.29,0.55,0.54,0.7,0.67,0.71,0.11,0.44
jsecurity.csv,0.29,0.37,0.97,0.37,0.49,0.39,0.51,0.3,0.34,0.41,0.56,0.42,0.44,0.33,0.33,0.0
libopenmetaverse.csv,0.4,0.73,0.31,0.67,0.99,0.65,0.46,0.6,0.39,0.52,0.64,0.45,0.82,0.65,0.28,0.43
mobicents.csv,0.38,0.57,0.4,0.52,0.6,0.98,0.57,0.54,0.24,0.54,0.43,0.61,0.64,0.33,0.36,0.62
opendvr.csv,0.35,0.73,0.31,0.58,0.59,0.57,0.45,0.56,0.33,0.56,0.66,0.76,0.82,0.32,0.95,0.57
power-architect.csv,0.38,0.75,0.34,0.7,0.65,0.63,0.55,0.46,0.48,0.57,0.7,1.0,0.84,0.61,0.43,0.52
sidekar.csv,0.46,0.64,0.42,0.98,0.55,0.61,0.53,0.52,0.43,0.57,0.42,0.69,0.7,0.45,0.33,0.77
wheat.csv,0.35,0.39,0.25,0.3,0.61,0.43,0.39,0.03,0.3,0.5,0.98,0.58,0.41,0.65,0.31,0.55
wsmt.csv,0.38,0.14,0.16,0.24,0.31,0.32,0.55,0.03,0.25,0.23,0.41,0.32,0.37,0.97,0.47,0.46
