,scenemonitor.csv,panda3d.csv,jchassis.csv,xcf.csv,coot.csv
coot.csv,0.37,0.45,0.41,0.45,0.73
jchassis.csv,0.0,0.0,0.98,0.0,0.0
panda3d.csv,0.45,0.59,0.86,0.36,0.57
scenemonitor.csv,0.71,0.02,0.0,0.29,0.18
xcf.csv,0.35,0.55,0.37,0.78,0.62
