,scenemonitor.csv,panda3d.csv,jchassis.csv,xcf.csv,coot.csv
coot.csv,0.91,0.71,0.88,0.87,0.41
jchassis.csv,1.0,1.0,0.09,1.0,1.0
panda3d.csv,0.63,0.54,0.44,0.94,0.73
scenemonitor.csv,0.37,0.98,1.0,0.78,0.87
xcf.csv,0.71,0.65,0.96,0.38,0.6
