,plearn.csv,pclasses.csv,re2c.csv,tzod.csv,psrchive.csv,liferea.csv,atlc.csv,theresa.csv,aubit4gl.csv,pfaedit.csv,opensim4opencog.csv,jmol.csv,yaprm.csv,tktoolkit.csv,moving-pictures.csv,miranda-icq.csv,ipfilter.csv,zemljanka.csv,rockbox.csv
atlc.csv,0.72,0.72,0.69,0.69,0.72,0.81,0.27,0.81,0.76,0.78,0.72,0.82,0.85,0.96,0.81,0.62,0.62,0.64,0.76
aubit4gl.csv,0.81,0.74,0.67,0.78,0.59,0.93,0.95,1.0,0.49,0.8,0.96,0.89,0.62,0.91,0.82,0.93,0.91,0.95,0.9
ipfilter.csv,0.92,0.91,0.84,0.75,0.74,0.94,1.02,0.92,0.78,0.92,0.65,0.85,0.64,0.98,0.71,0.67,0.08,0.74,0.73
jmol.csv,0.79,0.72,0.98,0.65,0.87,0.44,0.48,1.0,0.71,1.0,0.7,0.47,0.97,0.85,0.81,1.0,1.0,0.41,0.57
liferea.csv,0.63,0.65,0.95,0.54,0.55,0.37,0.63,0.96,0.91,0.7,0.6,0.74,0.63,0.82,0.77,0.56,0.59,0.68,0.76
miranda-icq.csv,0.63,0.62,0.68,0.64,0.42,0.8,0.97,0.76,1.0,0.65,0.81,0.88,0.71,0.96,0.67,0.49,0.52,1.0,0.84
moving-pictures.csv,0.55,0.44,0.7,0.56,0.65,0.85,1.0,0.32,0.71,0.69,0.75,0.73,0.76,0.96,0.45,0.67,0.69,0.85,0.41
opensim4opencog.csv,0.52,0.35,0.92,0.53,0.51,0.52,0.78,0.58,0.67,0.49,0.54,0.68,0.7,0.77,0.63,0.63,0.64,0.61,0.45
pclasses.csv,0.51,0.31,1.01,0.7,0.86,0.93,0.98,1.04,0.93,0.93,0.64,0.75,0.92,0.96,0.75,1.0,0.96,0.98,0.69
pfaedit.csv,0.68,0.76,0.58,0.54,0.57,0.66,0.9,0.63,0.64,0.31,0.61,0.87,0.68,0.64,0.73,0.92,0.89,0.79,0.64
plearn.csv,0.47,0.5,0.76,0.69,0.57,0.85,0.98,0.91,0.98,0.92,0.71,0.66,0.81,1.0,0.74,1.0,0.51,0.97,0.75
psrchive.csv,0.55,0.75,0.2,0.72,0.31,0.71,0.8,0.73,0.66,0.73,0.73,0.85,0.72,0.68,0.63,0.72,0.61,0.77,0.72
re2c.csv,0.71,0.83,0.02,0.73,0.68,0.69,0.98,0.67,0.56,0.85,0.85,0.88,0.69,1.0,0.68,0.82,0.91,0.89,0.84
rockbox.csv,0.79,1.0,1.03,0.6,0.54,0.65,0.98,0.48,0.6,0.71,0.61,0.57,0.63,0.63,0.63,0.72,0.79,0.74,0.38
theresa.csv,0.48,0.87,0.76,0.53,0.45,0.56,0.76,0.24,0.65,0.45,0.76,0.59,0.62,0.7,0.65,0.74,0.72,0.65,0.63
tktoolkit.csv,0.85,0.73,0.44,0.91,0.63,0.73,0.93,0.45,0.79,0.65,0.68,0.74,0.66,0.54,0.63,0.81,0.45,0.97,0.78
tzod.csv,0.58,0.87,0.66,0.48,0.61,0.65,0.68,0.39,0.61,0.52,0.58,0.45,0.61,0.86,0.97,0.64,0.64,0.53,0.79
yaprm.csv,0.53,0.74,0.85,0.63,0.59,0.92,1.0,0.4,0.61,0.52,0.67,0.69,0.45,0.61,0.79,0.89,0.87,0.68,0.8
zemljanka.csv,0.87,0.72,0.94,0.63,0.83,0.94,0.84,0.56,0.8,0.78,0.94,0.94,0.82,0.88,0.96,0.82,0.96,0.2,0.79
