,recall,precision,pf,wins
atlc.csv,0.64,0.4,0.62,3
aubit4gl.csv,0.13,0.62,0.07,18
ipfilter.csv,0.78,0.36,0.77,0
jmol.csv,0.82,0.4,0.77,2
liferea.csv,0.5,0.43,0.4,10
miranda-icq.csv,0.48,0.35,0.25,9
moving-pictures.csv,0.59,0.38,0.33,12
opensim4opencog.csv,0.58,0.48,0.37,15
pclasses.csv,0.11,0.42,0.2,6
pfaedit.csv,0.43,0.55,0.22,17
plearn.csv,0.35,0.44,0.34,8
psrchive.csv,0.57,0.46,0.42,14
re2c.csv,0.34,0.36,0.32,4
rockbox.csv,0.46,0.43,0.32,13
theresa.csv,0.46,0.49,0.3,16
tktoolkit.csv,0.56,0.37,0.42,5
tzod.csv,0.64,0.36,0.44,7
yaprm.csv,0.36,0.39,0.21,11
zemljanka.csv,0.86,0.37,0.82,1
