,jlinalg.csv,psycle.csv,superwaba.csv,wxcrp.csv,fritzing.csv,arianne.csv,playerstage.csv,knowledge.csv,bl-toolkit.csv,gnukeda.csv,enlightenment.csv,massiv.csv,alsa.csv,amateur-scrolls.csv,doomlegacy.csv
alsa.csv,0.65,0.44,0.62,0.47,0.56,0.5,0.65,0.74,0.5,0.56,0.52,0.74,0.68,0.68,0.62
amateur-scrolls.csv,0.36,0.12,0.0,0.36,0.61,0.13,0.45,0.37,0.15,0.1,0.06,0.54,0.05,0.7,0.1
arianne.csv,0.26,0.21,0.55,0.0,0.58,0.71,0.56,0.0,0.0,0.13,0.24,0.37,0.0,0.17,0.3
bl-toolkit.csv,0.55,0.41,0.32,0.41,0.36,0.56,0.42,0.71,0.75,0.37,0.05,0.58,0.0,0.27,0.51
doomlegacy.csv,0.0,0.62,0.3,0.42,0.65,0.53,0.73,0.0,0.64,0.65,0.09,0.6,0.39,0.69,0.73
enlightenment.csv,0.0,0.0,0.38,0.0,0.49,0.09,0.0,0.0,0.0,0.0,0.65,0.0,0.39,0.0,0.0
fritzing.csv,0.63,0.65,0.72,0.49,0.76,0.44,0.64,0.74,0.57,0.49,0.62,0.7,0.4,0.29,0.23
gnukeda.csv,0.69,0.53,0.52,0.58,0.23,0.61,0.37,0.32,0.17,0.77,0.41,0.82,0.43,0.45,0.17
jlinalg.csv,0.78,0.52,0.37,0.65,0.28,0.52,0.5,0.56,0.42,0.61,0.53,0.7,0.55,0.32,0.29
knowledge.csv,0.81,0.52,0.72,0.63,0.69,0.59,0.46,0.87,0.65,0.68,0.59,0.75,0.38,0.6,0.5
massiv.csv,0.17,0.02,0.35,0.12,0.41,0.12,0.0,0.0,0.05,0.1,0.0,0.99,0.0,0.63,0.0
playerstage.csv,0.63,0.6,0.54,0.59,0.73,0.56,0.72,0.76,0.59,0.62,0.63,0.52,0.42,0.65,0.39
psycle.csv,0.77,0.67,0.55,0.58,0.74,0.68,0.61,0.81,0.66,0.73,0.63,0.69,0.62,0.68,0.65
superwaba.csv,0.34,0.42,0.77,0.63,0.62,0.37,0.46,0.46,0.34,0.38,0.28,0.54,0.64,0.39,0.55
wxcrp.csv,0.0,0.62,0.33,0.58,0.5,0.4,0.54,0.54,0.43,0.53,0.61,0.44,0.59,0.39,0.61
