,wxcrp.csv,openmeetings.csv,jnode.csv,gnukeda.csv,etherboot.csv,aufs.csv,freebios.csv,gebr.csv,bdbbasic.csv,echongl.csv,pgui.csv,ffigo.csv,gstreamer.csv,metacosm.csv
aufs.csv,0.23,0.5,0.35,0.18,0.31,0.98,0.07,0.49,0.19,0.13,0.16,0.19,0.27,0.3
bdbbasic.csv,0.57,0.67,0.68,0.47,0.4,0.67,0.35,0.59,0.91,0.55,0.65,0.54,0.53,0.62
echongl.csv,0.48,0.4,0.44,0.61,0.67,0.4,0.44,0.44,0.61,0.99,0.55,0.63,0.54,0.44
etherboot.csv,0.52,0.27,0.0,0.35,0.93,0.22,0.07,0.45,0.47,0.35,0.27,0.36,0.37,0.22
ffigo.csv,0.48,0.27,0.29,0.42,0.48,0.64,0.33,0.5,0.64,0.37,0.67,0.99,0.51,0.45
freebios.csv,0.65,0.7,0.57,0.48,0.54,0.55,0.98,0.51,0.59,0.52,0.54,0.66,0.58,0.59
gebr.csv,0.49,0.53,0.5,0.73,0.46,0.46,0.41,0.98,0.65,0.13,0.55,0.63,0.61,0.61
gnukeda.csv,0.53,0.76,0.72,0.96,0.68,0.76,0.4,0.58,0.56,0.41,0.44,0.6,0.29,0.73
gstreamer.csv,0.65,0.69,0.65,0.59,0.48,0.73,0.36,0.53,0.61,0.55,0.66,0.58,0.97,0.66
jnode.csv,0.16,0.17,1.0,0.21,0.17,0.0,0.02,0.28,0.0,0.02,0.02,0.0,0.02,0.09
metacosm.csv,0.38,0.55,0.53,0.32,0.17,0.65,0.35,0.18,0.24,0.31,0.32,0.41,0.34,0.97
openmeetings.csv,0.16,1.0,0.43,0.16,0.0,0.59,0.37,0.1,0.19,0.1,0.58,0.19,0.58,0.38
pgui.csv,0.51,0.46,0.07,0.38,0.27,0.34,0.07,0.28,0.42,0.19,1.0,0.1,0.11,0.22
wxcrp.csv,0.92,0.54,0.61,0.27,0.17,0.47,0.02,0.25,0.06,0.06,0.4,0.01,0.21,0.3
