,recall
guineu.csv,0.38
campsoft.csv,1.0
gtad.csv,1.0
rhex.csv,0.42
owlib.csv,0.62
ktc.csv,0.73
jedit.csv,0.41
net-snmp.csv,0.88
encog-java.csv,0.86
umber.csv,0.84
jahshakafx.csv,0.94
jahshaka.csv,0.64
selenium.csv,0.37
paintown.csv,0.29
h2database.csv,0.72
x4x.csv,0.81
elmo.csv,0.2
jmoney.csv,0.3
google-collections.csv,0.04
baadengine.csv,0.43
raven-monitoring.csv,0.37
smbopensoft.csv,0.97
xharbour.csv,0.94
flylinkdc.csv,0.73
reactos-mirror.csv,0.8
qpe.csv,0.74
xbrlapi.csv,0.6
prelude.csv,0.14
neoengine.csv,0.67
atunes.csv,0.86
avifile.csv,0.2
lamp.csv,0.57
logicmail.csv,0.67
wgs-assembler.csv,0.77
plearn.csv,0.49
werx.csv,0.77
plog4u.csv,1.0
openwbem.csv,0.88
qgo.csv,0.4
jaql.csv,0.86
kmatplot.csv,0.83
pclasses.csv,0.27
agilitybook.csv,0.84
triplea.csv,0.41
raygina.csv,0.44
wpdev.csv,0.64
owfs.csv,0.73
olap-navigator.csv,0.43
pokeglobal.csv,0.93
nova.csv,0.15
sauerbraten.csv,0.77
graphmak.csv,0.76
jgameai.csv,0.31
gpsmid.csv,0.61
empyrean.csv,0.7
awemud.csv,0.36
crisscross.csv,0.52
re2c.csv,0.5
tzod.csv,0.52
octave.csv,0.32
adaptagrams.csv,1.0
open-media-library.csv,0.42
vdsf.csv,1.0
orc.csv,0.94
lazarus-ccr.csv,0.58
n2cms.csv,0.4
forester-atv.csv,0.92
mob-sen-plat.csv,0.15
nh3d.csv,1.0
amanda.csv,0.75
