,ifa
guineu.csv,2.0
campsoft.csv,19.0
gtad.csv,18.0
rhex.csv,14.0
owlib.csv,0.0
ktc.csv,4.0
jedit.csv,3.0
net-snmp.csv,0.0
encog-java.csv,16.0
umber.csv,22.0
jahshakafx.csv,58.0
jahshaka.csv,0.0
selenium.csv,0.0
paintown.csv,0.0
h2database.csv,0.0
x4x.csv,0.0
elmo.csv,4.0
jmoney.csv,4.0
google-collections.csv,0.0
baadengine.csv,0.0
raven-monitoring.csv,0.0
smbopensoft.csv,1.0
xharbour.csv,1.0
flylinkdc.csv,2.0
reactos-mirror.csv,5.0
qpe.csv,15.0
xbrlapi.csv,2.0
prelude.csv,0.0
neoengine.csv,2.0
atunes.csv,34.0
avifile.csv,16.0
lamp.csv,5.0
logicmail.csv,2.0
wgs-assembler.csv,3.0
plearn.csv,2.0
werx.csv,0.0
plog4u.csv,10.0
openwbem.csv,0.0
qgo.csv,1.0
jaql.csv,6.0
kmatplot.csv,0.0
pclasses.csv,4.0
agilitybook.csv,2.0
triplea.csv,0.0
raygina.csv,3.0
wpdev.csv,0.0
owfs.csv,1.0
olap-navigator.csv,0.0
pokeglobal.csv,0.0
nova.csv,1.0
sauerbraten.csv,1.0
graphmak.csv,4.0
jgameai.csv,0.0
gpsmid.csv,2.0
empyrean.csv,0.0
awemud.csv,1.0
crisscross.csv,6.0
re2c.csv,1.0
tzod.csv,3.0
octave.csv,8.0
adaptagrams.csv,8.0
open-media-library.csv,1.0
vdsf.csv,5.0
orc.csv,8.0
lazarus-ccr.csv,0.0
n2cms.csv,4.0
forester-atv.csv,1.0
mob-sen-plat.csv,0.0
nh3d.csv,0.0
amanda.csv,0.0
