,d2h
guineu.csv,0.65
campsoft.csv,0.31
gtad.csv,0.42
rhex.csv,0.62
owlib.csv,0.59
ktc.csv,0.39
jedit.csv,0.63
net-snmp.csv,0.79
encog-java.csv,0.59
umber.csv,0.62
jahshakafx.csv,0.72
jahshaka.csv,0.49
selenium.csv,0.64
paintown.csv,0.71
h2database.csv,0.43
x4x.csv,0.85
elmo.csv,0.82
jmoney.csv,0.71
google-collections.csv,0.96
baadengine.csv,0.62
raven-monitoring.csv,0.8
smbopensoft.csv,0.97
xharbour.csv,0.69
flylinkdc.csv,0.59
reactos-mirror.csv,0.64
qpe.csv,0.4
xbrlapi.csv,0.72
prelude.csv,0.86
neoengine.csv,0.47
atunes.csv,0.48
avifile.csv,1.0
lamp.csv,0.46
logicmail.csv,0.45
wgs-assembler.csv,0.82
plearn.csv,0.57
werx.csv,1.03
plog4u.csv,0.22
openwbem.csv,0.7
qgo.csv,0.66
jaql.csv,0.65
kmatplot.csv,0.54
pclasses.csv,0.76
agilitybook.csv,0.57
triplea.csv,0.64
raygina.csv,0.63
wpdev.csv,0.36
owfs.csv,0.69
olap-navigator.csv,0.58
pokeglobal.csv,0.59
nova.csv,0.85
sauerbraten.csv,0.55
graphmak.csv,0.65
jgameai.csv,0.77
gpsmid.csv,0.41
empyrean.csv,0.54
awemud.csv,0.67
crisscross.csv,0.61
re2c.csv,0.58
tzod.csv,0.54
octave.csv,0.72
adaptagrams.csv,0.92
open-media-library.csv,0.6
vdsf.csv,1.0
orc.csv,0.51
lazarus-ccr.csv,0.51
n2cms.csv,0.68
forester-atv.csv,0.78
mob-sen-plat.csv,0.85
nh3d.csv,0.99
amanda.csv,0.46
