,g-score
guineu.csv,0.42
campsoft.csv,0.92
gtad.csv,0.87
rhex.csv,0.46
owlib.csv,0.6
ktc.csv,0.73
jedit.csv,0.45
net-snmp.csv,0.55
encog-java.csv,0.71
umber.csv,0.69
jahshakafx.csv,0.64
jahshaka.csv,0.65
selenium.csv,0.42
paintown.csv,0.34
h2database.csv,0.71
x4x.csv,0.46
elmo.csv,0.24
jmoney.csv,0.35
google-collections.csv,0.05
baadengine.csv,0.47
raven-monitoring.csv,0.39
smbopensoft.csv,0.13
xharbour.csv,0.68
flylinkdc.csv,0.66
reactos-mirror.csv,0.67
qpe.csv,0.73
xbrlapi.csv,0.55
prelude.csv,0.17
neoengine.csv,0.67
atunes.csv,0.77
avifile.csv,0.22
lamp.csv,0.61
logicmail.csv,0.68
wgs-assembler.csv,0.5
plearn.csv,0.53
werx.csv,0.0
plog4u.csv,0.95
openwbem.csv,0.64
qgo.csv,0.44
jaql.csv,0.68
kmatplot.csv,0.73
pclasses.csv,0.31
agilitybook.csv,0.72
triplea.csv,0.45
raygina.csv,0.48
wpdev.csv,0.69
owfs.csv,0.61
olap-navigator.csv,0.48
pokeglobal.csv,0.74
nova.csv,0.18
sauerbraten.csv,0.69
graphmak.csv,0.64
jgameai.csv,0.35
gpsmid.csv,0.65
empyrean.csv,0.66
awemud.csv,0.4
crisscross.csv,0.54
re2c.csv,0.53
tzod.csv,0.55
octave.csv,0.36
adaptagrams.csv,0.3
open-media-library.csv,0.47
vdsf.csv,0.0
orc.csv,0.79
lazarus-ccr.csv,0.6
n2cms.csv,0.44
forester-atv.csv,0.56
mob-sen-plat.csv,0.18
nh3d.csv,0.05
amanda.csv,0.72
