,precision
guineu.csv,0.43
campsoft.csv,0.03
gtad.csv,0.06
rhex.csv,0.22
owlib.csv,0.48
ktc.csv,0.64
jedit.csv,0.6
net-snmp.csv,0.47
encog-java.csv,0.17
umber.csv,0.33
jahshakafx.csv,0.36
jahshaka.csv,0.3
selenium.csv,0.81
paintown.csv,1.0
h2database.csv,0.25
x4x.csv,0.77
elmo.csv,0.08
jmoney.csv,0.55
google-collections.csv,1.0
baadengine.csv,0.85
raven-monitoring.csv,0.33
smbopensoft.csv,0.49
xharbour.csv,0.86
flylinkdc.csv,0.34
reactos-mirror.csv,0.48
qpe.csv,0.17
xbrlapi.csv,0.51
prelude.csv,1.0
neoengine.csv,0.55
atunes.csv,0.07
avifile.csv,0.02
lamp.csv,0.26
logicmail.csv,0.79
wgs-assembler.csv,0.35
plearn.csv,0.43
werx.csv,0.97
plog4u.csv,0.04
openwbem.csv,0.41
qgo.csv,0.55
jaql.csv,0.47
kmatplot.csv,0.27
pclasses.csv,0.2
agilitybook.csv,0.19
triplea.csv,0.72
raygina.csv,0.48
wpdev.csv,1.0
owfs.csv,0.2
olap-navigator.csv,0.93
pokeglobal.csv,0.69
nova.csv,0.67
sauerbraten.csv,0.71
graphmak.csv,0.4
jgameai.csv,0.28
gpsmid.csv,0.86
empyrean.csv,0.74
awemud.csv,0.82
crisscross.csv,0.22
re2c.csv,0.17
tzod.csv,0.54
octave.csv,0.23
adaptagrams.csv,0.54
open-media-library.csv,0.68
vdsf.csv,0.09
orc.csv,0.17
lazarus-ccr.csv,0.64
n2cms.csv,0.45
forester-atv.csv,0.44
mob-sen-plat.csv,0.83
nh3d.csv,0.01
amanda.csv,0.63
