,guineu.csv,owlib.csv,prelude.csv,owfs.csv,octave.csv,inkscape.csv,robocode.csv,checker-framework.csv,uwom-server.csv,nsis.csv,zengine.csv,zildo.csv,customsagetv.csv,xfce.csv,carabiner.csv,mesa3d.csv,trinitycore.csv,tencompetence.csv,oorexx.csv,elvishrayrenderer.csv
carabiner.csv,0.32,0.41,0.79,0.18,0.19,0.62,0.43,0.22,0.28,0.91,0.79,0.59,0.54,0.77,0.62,0.24,0.27,0.56,0.56,0.6
checker-framework.csv,0.33,0.4,0.86,0.18,0.17,0.59,0.49,0.48,0.21,0.87,0.74,0.51,0.64,0.68,0.28,0.2,0.21,0.66,0.59,0.64
customsagetv.csv,0.62,0.64,1.0,0.75,0.29,0.67,0.43,0.07,0.41,0.89,1.0,0.69,0.92,0.88,1.0,0.42,0.41,0.44,0.78,0.8
elvishrayrenderer.csv,0.32,0.49,0.79,0.17,0.23,0.35,0.62,0.27,0.23,0.95,0.71,0.61,0.6,0.72,0.56,0.23,0.23,0.59,0.73,0.79
guineu.csv,0.52,0.57,1.0,0.17,0.32,0.67,0.52,0.4,0.31,0.9,0.91,0.58,0.8,1.0,0.5,0.48,0.31,0.52,0.65,0.73
inkscape.csv,0.31,0.43,1.0,0.19,0.23,0.73,0.42,0.15,0.32,0.82,0.73,0.45,0.51,0.0,0.29,0.0,0.32,0.67,0.62,0.63
mesa3d.csv,0.3,0.4,1.0,0.0,0.29,0.61,0.56,0.13,0.29,0.9,1.0,0.58,0.11,0.81,0.64,0.34,0.29,0.52,0.67,0.65
nsis.csv,0.29,0.33,0.85,0.13,0.13,0.54,0.3,0.18,0.24,1.0,0.83,0.52,0.69,0.56,0.27,0.21,0.24,0.71,0.59,0.65
octave.csv,0.31,0.43,1.0,0.18,0.35,0.75,0.39,0.05,0.22,0.85,0.74,0.39,0.35,0.85,0.39,0.38,0.21,0.47,0.67,0.62
oorexx.csv,0.35,0.51,1.0,0.33,0.22,0.62,0.52,0.29,0.39,0.87,0.76,0.45,0.48,0.75,0.36,0.3,0.39,0.41,0.71,0.69
owfs.csv,0.3,0.39,0.79,0.29,0.19,0.58,0.43,0.23,0.25,0.94,0.8,0.55,0.39,0.69,0.39,0.35,0.26,0.63,0.6,0.71
owlib.csv,0.38,0.61,0.96,0.21,0.25,0.62,0.54,0.36,0.32,0.95,0.92,0.67,0.61,0.8,0.67,0.29,0.33,0.55,0.63,0.72
prelude.csv,0.32,0.4,0.97,0.2,0.18,0.63,0.45,0.21,0.26,0.89,0.82,0.49,0.59,0.75,0.3,0.26,0.28,0.64,0.61,0.69
robocode.csv,0.4,0.53,0.0,0.38,0.24,0.71,0.71,0.23,0.38,0.91,0.81,0.53,0.57,0.82,0.26,0.28,0.37,0.55,0.67,0.68
tencompetence.csv,0.38,0.36,0.93,0.14,0.14,0.38,0.5,0.17,0.07,1.0,0.77,0.75,0.91,0.61,0.16,0.21,0.11,0.83,0.53,0.68
trinitycore.csv,0.3,0.57,1.0,0.33,0.3,0.67,0.4,0.16,0.36,0.93,0.94,0.3,0.9,0.81,0.33,0.32,0.35,0.62,0.55,0.78
uwom-server.csv,0.37,0.46,0.0,0.09,0.22,0.73,0.47,0.26,0.34,0.94,0.81,0.47,0.73,0.8,0.0,0.24,0.34,0.65,0.63,0.69
xfce.csv,0.35,0.48,0.79,0.19,0.22,0.64,0.48,0.47,0.3,0.87,0.71,0.56,0.36,0.78,0.64,0.23,0.3,0.57,0.62,0.58
zengine.csv,0.31,0.4,0.87,0.15,0.18,0.57,0.45,0.19,0.26,0.93,1.0,0.51,0.58,0.74,0.3,0.27,0.26,0.65,0.6,0.65
zildo.csv,0.43,0.44,0.96,0.17,0.27,0.63,0.73,0.33,0.29,0.86,0.91,0.75,0.79,0.78,0.35,0.24,0.29,0.73,0.62,0.68
