,agilitybook.csv,apolloplayer.csv,nug.csv,gotjava.csv,utgb.csv,redshell.csv,k3d.csv,red5.csv,ppcboot.csv,owlapi.csv,irrlicht.csv,xreal.csv,auber.csv
agilitybook.csv,0.0,0.0,2.0,490.0,0.0,0.0,0.0,4.0,5.0,39.0,0.0,14.0,5.0
apolloplayer.csv,3.0,0.0,0.0,490.0,2.0,0.0,25.0,0.0,0.0,33.0,0.0,183.0,0.0
auber.csv,9.0,7.0,0.0,490.0,2.0,0.0,16.0,0.0,0.0,23.0,0.0,19.0,0.0
irrlicht.csv,8.0,0.0,0.0,21.0,0.0,0.0,0.0,2.0,0.0,22.0,0.0,34.0,2.0
k3d.csv,18.0,1.0,0.0,490.0,0.0,0.0,0.0,0.0,0.0,155.0,0.0,183.0,7.0
nug.csv,8.0,0.0,0.0,490.0,2.0,0.0,25.0,0.0,0.0,21.0,1.0,42.0,1.0
owlapi.csv,0.0,0.0,52.0,490.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,183.0,121.0
ppcboot.csv,7.0,5.0,0.0,257.0,0.0,0.0,30.0,0.0,0.0,24.0,0.0,183.0,1.0
red5.csv,1.0,3.0,0.0,11.0,1.0,0.0,10.0,0.0,2.0,8.0,1.0,183.0,2.0
redshell.csv,9.0,0.0,0.0,373.0,2.0,0.0,0.0,0.0,0.0,19.0,0.0,20.0,1.0
utgb.csv,10.0,1.0,0.0,490.0,0.0,0.0,15.0,0.0,0.0,10.0,0.0,22.0,1.0
xreal.csv,282.0,1.0,52.0,490.0,0.0,0.0,205.0,71.0,236.0,155.0,0.0,0.0,121.0
