,agilitybook.csv,apolloplayer.csv,nug.csv,gotjava.csv,utgb.csv,redshell.csv,k3d.csv,red5.csv,ppcboot.csv,owlapi.csv,irrlicht.csv,xreal.csv,auber.csv
agilitybook.csv,0.96,0.47,0.39,0.0,0.35,0.34,0.44,0.22,0.2,0.46,0.53,0.76,0.41
apolloplayer.csv,0.13,1.0,0.28,0.0,0.54,0.25,0.3,0.5,0.34,0.45,0.2,0.0,0.19
auber.csv,0.41,0.5,0.21,0.0,0.46,0.56,0.37,0.42,0.26,0.19,0.43,0.41,1.0
irrlicht.csv,0.51,0.52,0.53,0.98,0.24,0.39,0.48,0.62,0.17,0.32,0.98,0.38,0.46
k3d.csv,0.13,0.25,0.07,0.0,0.07,0.13,0.94,0.35,0.0,0.0,0.17,0.0,0.05
nug.csv,0.56,0.57,1.0,0.0,0.39,0.37,0.16,0.59,0.6,0.48,0.49,0.44,0.28
owlapi.csv,0.06,0.05,0.0,0.0,0.07,0.06,0.04,0.11,0.07,0.97,0.06,0.0,0.0
ppcboot.csv,0.44,0.55,0.33,0.66,0.35,0.53,0.51,0.31,0.98,0.54,0.47,0.0,0.56
red5.csv,0.19,0.15,0.15,0.99,0.33,0.18,0.2,0.98,0.32,0.41,0.12,0.0,0.16
redshell.csv,0.0,0.0,0.0,0.09,0.49,1.0,0.65,0.52,0.57,0.46,0.51,0.38,0.09
utgb.csv,0.53,0.62,0.49,0.0,0.95,0.29,0.16,0.4,0.29,0.36,0.41,0.24,0.32
xreal.csv,0.0,0.1,0.0,0.0,0.04,0.06,0.0,0.0,0.0,0.0,0.05,1.0,0.0
