,brlcad.csv,xmemcached.csv,fceugc.csv,jaolt.csv,kmess.csv,google-gears.csv,ftm.csv,jcache.csv
brlcad.csv,0.39,0.47,0.07,0.24,0.05,0.03,0.79,0.0
fceugc.csv,0.09,0.59,0.26,0.45,0.35,0.19,0.58,0.8
ftm.csv,0.34,0.05,0.14,0.07,0.16,0.03,0.35,0.1
google-gears.csv,0.72,0.61,0.3,0.79,0.65,0.32,0.77,0.93
jaolt.csv,0.08,0.25,0.47,0.48,0.36,0.19,0.42,0.29
jcache.csv,0.77,0.3,0.65,0.34,0.75,0.92,0.24,0.17
kmess.csv,0.01,0.22,0.42,0.07,0.47,0.0,0.08,0.2
xmemcached.csv,1.0,0.17,0.79,0.31,0.78,0.92,0.39,0.73
