,mpqc.csv,haggle.csv,jgnash.csv,java-gnome.csv,panda3d.csv,jrdf.csv,geotools.csv,gephex.csv,tencompetence.csv,codesmith.csv
codesmith.csv,0.36,0.61,0.34,0.56,0.62,0.24,0.14,0.88,0.09,0.26
geotools.csv,0.61,0.78,0.43,0.44,0.61,0.2,0.32,0.73,0.41,0.5
gephex.csv,0.74,0.85,0.54,0.88,0.75,0.68,0.6,0.37,0.75,0.82
haggle.csv,0.0,0.56,0.05,0.0,0.0,0.15,0.11,0.0,0.13,0.0
java-gnome.csv,0.56,0.54,0.13,0.19,0.5,0.46,0.63,0.24,0.63,0.74
jgnash.csv,0.5,0.41,0.17,0.38,0.29,0.25,0.32,0.63,0.57,0.85
jrdf.csv,0.25,0.27,0.69,0.69,0.41,0.25,0.4,0.12,0.36,0.65
mpqc.csv,0.25,0.39,0.54,0.5,0.47,0.39,0.41,0.78,0.54,0.62
panda3d.csv,0.39,0.37,0.23,0.38,0.31,0.14,0.43,0.61,0.29,0.29
tencompetence.csv,0.22,0.49,0.51,0.5,0.46,0.86,0.74,0.12,0.29,0.59
