,mpqc.csv,haggle.csv,jgnash.csv,java-gnome.csv,panda3d.csv,jrdf.csv,geotools.csv,gephex.csv,tencompetence.csv,codesmith.csv
codesmith.csv,0.22,0.62,0.18,0.8,0.27,0.22,0.4,0.64,0.56,0.85
geotools.csv,0.13,0.66,0.23,0.81,0.32,0.37,0.44,0.63,0.54,0.73
gephex.csv,0.17,0.63,0.17,0.8,0.3,0.25,0.33,0.77,0.61,0.6
haggle.csv,0.0,0.7,0.5,0.0,0.0,0.36,0.41,0.0,0.37,1.0
java-gnome.csv,0.13,0.63,0.37,0.93,0.28,0.29,0.32,0.73,0.59,0.66
jgnash.csv,0.13,0.71,0.39,0.87,0.38,0.38,0.39,0.64,0.56,0.64
jrdf.csv,0.07,0.58,0.12,0.82,0.38,0.44,0.31,0.67,0.71,0.49
mpqc.csv,0.32,0.62,0.07,0.65,0.3,0.08,0.19,0.58,0.65,0.63
panda3d.csv,0.14,0.67,0.21,0.62,0.41,0.2,0.3,0.66,0.51,0.57
tencompetence.csv,0.25,0.53,0.17,0.83,0.3,0.16,0.24,0.58,0.83,0.35
