,zealos.csv,openintents.csv,atomsite.csv,bullet.csv,tktoolkit.csv,pokenetonline.csv
atomsite.csv,0.75,0.53,0.74,0.62,0.58,0.62
bullet.csv,0.45,0.46,0.44,0.7,0.63,0.43
openintents.csv,0.34,0.63,0.49,0.51,0.2,0.46
pokenetonline.csv,0.0,0.49,0.09,0.34,0.39,0.74
tktoolkit.csv,0.26,0.6,0.27,0.58,0.61,0.51
zealos.csv,0.74,0.0,0.17,0.12,0.4,0.18
