,flylinkdc.csv,vdsf.csv,nuttx.csv,dvt.csv,ldview.csv,fw4spl.csv,ctrlr.csv,ipfire-wall.csv,uclmda.csv,codepurge.csv,free-evolution.csv,xcf.csv
codepurge.csv,0.28,0.38,0.51,0.27,0.51,0.4,0.14,0.35,0.67,0.23,0.43,0.13
ctrlr.csv,0.35,0.0,0.03,0.49,0.19,0.01,0.25,0.27,0.33,0.32,0.23,0.43
dvt.csv,0.65,0.15,0.0,0.31,0.62,0.07,0.41,0.59,0.5,0.54,0.34,0.23
flylinkdc.csv,0.22,0.97,0.85,0.8,0.3,0.68,0.73,0.43,0.5,0.54,0.55,0.8
free-evolution.csv,0.92,0.91,0.82,0.4,0.65,0.29,0.15,0.59,0.83,0.44,0.38,0.27
fw4spl.csv,0.4,0.24,0.33,0.3,0.24,0.26,0.34,0.43,0.0,0.45,0.21,0.17
ipfire-wall.csv,0.08,0.36,0.49,0.14,0.05,0.08,0.29,0.27,0.5,0.03,0.09,0.03
ldview.csv,0.86,0.27,0.64,0.5,0.3,0.39,0.14,0.84,0.83,0.1,0.51,0.43
nuttx.csv,0.18,0.01,0.54,0.15,0.32,0.15,0.08,0.41,0.33,0.34,0.4,0.2
uclmda.csv,0.36,0.01,0.1,0.05,0.49,0.18,0.12,0.46,0.0,0.22,0.14,0.07
vdsf.csv,0.82,0.12,0.95,0.79,0.59,0.43,0.81,0.89,0.5,0.73,0.9,0.93
xcf.csv,0.63,0.34,0.31,0.35,0.27,0.36,0.31,0.7,0.83,0.28,0.29,0.33
