,wgs-assembler.csv,nh3d.csv,jvcl.csv,sarasvati.csv,blogentis.csv,m-m-m.csv,scen-connect.csv,jaxen.csv,emulemorph.csv,motu.csv,zabbix.csv,jfreechart.csv
blogentis.csv,0.52,0.28,0.41,0.11,0.93,0.41,0.91,0.57,0.77,0.71,0.06,0.75
emulemorph.csv,0.0,0.0,0.0,0.21,0.05,0.0,0.0,0.0,0.72,0.0,0.04,0.0
jaxen.csv,0.04,0.0,0.15,0.41,0.0,0.0,0.0,1.0,0.0,0.1,0.0,0.0
jvcl.csv,0.18,0.0,0.79,0.21,0.35,0.15,0.0,0.23,0.0,0.34,0.0,0.0
m-m-m.csv,0.55,0.0,0.46,0.87,0.52,1.0,0.76,0.27,0.55,0.69,0.13,0.47
motu.csv,0.0,0.29,0.41,0.0,0.2,0.19,0.0,0.45,0.0,1.0,0.0,0.0
nh3d.csv,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sarasvati.csv,0.4,0.29,0.0,0.93,0.0,0.0,0.96,0.0,0.2,0.1,0.15,0.0
wgs-assembler.csv,0.98,0.76,0.42,0.66,0.33,0.31,0.81,0.75,0.2,0.34,0.17,0.96
zabbix.csv,0.35,0.76,0.21,0.52,0.47,0.59,0.49,0.83,0.47,0.49,1.0,0.0
