,wgs-assembler.csv,nh3d.csv,jvcl.csv,sarasvati.csv,blogentis.csv,m-m-m.csv,scen-connect.csv,jaxen.csv,emulemorph.csv,motu.csv,zabbix.csv,jfreechart.csv
blogentis.csv,0.69,0.53,0.36,0.07,0.01,0.3,0.33,0.52,0.6,0.46,0.01,0.63
emulemorph.csv,0.0,0.01,0.03,0.31,0.04,0.0,0.08,0.01,0.0,0.22,0.0,0.0
jaxen.csv,0.0,0.0,0.1,0.01,0.01,0.0,0.0,0.0,0.0,0.04,0.0,0.01
jvcl.csv,0.11,0.0,0.0,0.32,0.51,0.0,0.79,0.48,0.02,0.46,0.0,0.03
m-m-m.csv,0.56,1.0,0.85,0.42,0.77,0.0,0.61,0.93,0.68,0.61,0.97,0.85
motu.csv,0.01,0.0,0.87,0.04,0.16,0.0,0.05,0.12,0.0,0.0,0.0,0.03
nh3d.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.02,0.0,0.0
sarasvati.csv,0.3,0.09,0.02,0.0,0.04,0.0,0.16,0.01,0.07,0.33,0.01,0.0
wgs-assembler.csv,0.0,0.2,0.2,0.25,0.28,0.3,0.54,0.41,0.32,0.5,0.39,0.19
zabbix.csv,0.89,0.61,0.95,0.81,0.81,0.6,0.84,0.5,0.85,0.83,0.0,0.76
