,wgs-assembler.csv,nh3d.csv,jvcl.csv,sarasvati.csv,blogentis.csv,m-m-m.csv,scen-connect.csv,jaxen.csv,emulemorph.csv,motu.csv,zabbix.csv,jfreechart.csv
blogentis.csv,0.33,0.01,0.11,0.08,0.96,0.86,0.05,0.07,0.09,0.32,0.75,0.02
emulemorph.csv,0.0,0.0,0.0,0.04,0.25,0.0,0.0,0.0,1.0,0.0,1.0,0.0
jaxen.csv,1.0,0.0,0.12,0.8,0.0,0.0,0.0,1.0,0.0,0.33,0.0,0.0
jvcl.csv,0.43,0.0,1.0,0.04,0.19,1.0,0.0,0.02,0.0,0.16,0.0,0.0
m-m-m.csv,0.37,0.01,0.11,0.14,0.25,1.0,0.03,0.06,0.05,0.28,0.37,0.01
motu.csv,0.0,1.0,0.1,0.0,0.27,1.0,0.0,0.17,0.0,1.0,0.0,0.0
nh3d.csv,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sarasvati.csv,0.4,0.03,0.0,1.0,0.0,0.0,0.09,0.0,0.12,0.06,0.89,0.0
wgs-assembler.csv,1.0,0.04,0.18,0.15,0.27,0.82,0.03,0.11,0.03,0.15,0.19,0.05
zabbix.csv,0.33,0.02,0.11,0.07,0.24,0.85,0.02,0.11,0.06,0.24,1.0,0.0
