,adaptagrams.csv,olsrd.csv,electric-core.csv,badtrinitycore.csv,aime.csv,silvertree.csv,mumble.csv,t-2.csv,skia.csv,geochat.csv
adaptagrams.csv,1.0,0.86,0.54,0.18,0.38,0.5,0.43,0.15,0.25,0.32
aime.csv,0.67,0.81,0.31,0.25,0.93,0.49,0.23,0.08,0.33,0.18
badtrinitycore.csv,0.8,1.0,0.32,1.0,0.16,0.49,0.43,0.06,0.12,0.31
electric-core.csv,0.82,0.76,0.97,0.14,0.19,0.45,0.28,0.07,0.27,0.23
geochat.csv,0.54,0.95,0.28,0.1,0.19,0.7,0.36,0.11,0.29,1.0
mumble.csv,0.72,0.89,0.29,0.08,0.08,0.59,1.0,0.24,0.53,0.47
olsrd.csv,0.6,1.0,0.22,0.13,0.24,0.39,0.32,0.14,0.35,0.28
silvertree.csv,0.68,0.8,0.32,0.14,0.16,1.0,0.41,0.09,0.41,0.23
skia.csv,0.61,0.83,0.31,0.18,0.19,0.64,0.38,0.25,1.0,0.33
t-2.csv,0.38,0.69,0.21,0.21,0.07,0.3,0.14,1.0,0.21,0.23
