,adaptagrams.csv,olsrd.csv,electric-core.csv,badtrinitycore.csv,aime.csv,silvertree.csv,mumble.csv,t-2.csv,skia.csv,geochat.csv
adaptagrams.csv,0.92,0.47,0.35,0.49,0.36,0.12,0.36,0.35,0.17,0.27
aime.csv,0.15,0.74,0.75,0.79,1.0,0.92,0.56,0.42,0.61,0.3
badtrinitycore.csv,0.31,0.12,0.12,0.91,0.86,0.76,0.12,0.14,0.04,0.17
electric-core.csv,0.54,0.71,0.9,0.77,0.57,0.36,0.4,0.29,0.52,0.53
geochat.csv,0.54,0.29,0.49,0.38,0.36,0.76,0.4,0.19,0.26,1.0
mumble.csv,0.69,0.5,0.4,0.11,0.07,0.52,0.96,0.43,0.43,0.3
olsrd.csv,1.0,0.99,0.91,0.91,0.93,0.44,0.6,0.78,0.74,0.63
silvertree.csv,0.73,0.53,0.53,0.26,0.36,1.0,0.68,0.33,0.3,0.27
skia.csv,0.65,0.29,0.39,0.6,0.36,0.28,0.56,0.28,0.96,0.17
t-2.csv,0.23,0.35,0.18,0.26,0.21,0.24,0.24,0.92,0.13,0.37
