,adaptagrams.csv,olsrd.csv,electric-core.csv,badtrinitycore.csv,aime.csv,silvertree.csv,mumble.csv,t-2.csv,skia.csv,geochat.csv
adaptagrams.csv,0.0,0.25,0.08,0.29,0.12,0.09,0.18,0.27,0.26,0.17
aime.csv,0.08,0.6,0.46,0.31,0.01,0.69,0.71,0.66,0.61,0.43
badtrinitycore.csv,0.08,0.0,0.07,0.0,0.91,0.57,0.06,0.33,0.15,0.11
electric-core.csv,0.12,0.75,0.01,0.62,0.51,0.31,0.4,0.54,0.72,0.56
geochat.csv,0.5,0.05,0.35,0.46,0.31,0.23,0.28,0.21,0.33,0.0
mumble.csv,0.29,0.2,0.26,0.16,0.18,0.26,0.0,0.19,0.2,0.1
olsrd.csv,0.71,0.0,0.86,0.81,0.6,0.49,0.49,0.67,0.7,0.49
silvertree.csv,0.38,0.45,0.3,0.21,0.4,0.0,0.37,0.44,0.22,0.28
skia.csv,0.46,0.2,0.24,0.35,0.31,0.11,0.35,0.12,0.0,0.1
t-2.csv,0.42,0.55,0.19,0.13,0.56,0.4,0.57,0.0,0.24,0.37
