,adaptagrams.csv,olsrd.csv,electric-core.csv,badtrinitycore.csv,aime.csv,silvertree.csv,mumble.csv,t-2.csv,skia.csv,geochat.csv
adaptagrams.csv,0.0,3.0,0.0,15.0,3.0,0.0,8.0,2.0,9.0,4.0
aime.csv,1.0,3.0,6.0,8.0,0.0,7.0,18.0,95.0,4.0,27.0
badtrinitycore.csv,0.0,0.0,17.0,0.0,20.0,5.0,3.0,87.0,2.0,0.0
electric-core.csv,2.0,0.0,0.0,9.0,8.0,3.0,17.0,59.0,4.0,12.0
geochat.csv,3.0,0.0,6.0,100.0,1.0,0.0,6.0,2.0,3.0,0.0
mumble.csv,1.0,1.0,11.0,23.0,9.0,0.0,0.0,0.0,1.0,1.0
olsrd.csv,5.0,0.0,4.0,75.0,1.0,3.0,9.0,32.0,1.0,5.0
silvertree.csv,2.0,6.0,4.0,20.0,5.0,0.0,9.0,41.0,1.0,14.0
skia.csv,4.0,3.0,18.0,1.0,2.0,0.0,7.0,11.0,0.0,3.0
t-2.csv,6.0,0.0,7.0,4.0,12.0,8.0,23.0,0.0,3.0,14.0
