,adaptagrams.csv,olsrd.csv,electric-core.csv,badtrinitycore.csv,aime.csv,silvertree.csv,mumble.csv,t-2.csv,skia.csv,geochat.csv
adaptagrams.csv,0.08,0.59,0.66,0.59,0.65,0.88,0.67,0.7,0.87,0.75
aime.csv,0.85,0.66,0.52,0.38,0.01,0.69,0.83,0.88,0.72,0.82
badtrinitycore.csv,0.7,0.88,0.89,0.09,0.92,0.62,0.88,0.92,0.97,0.84
electric-core.csv,0.48,0.81,0.1,0.66,0.67,0.71,0.72,0.89,0.86,0.73
geochat.csv,0.68,0.71,0.62,0.77,0.71,0.33,0.66,0.84,0.81,0.0
mumble.csv,0.42,0.54,0.66,0.91,0.95,0.54,0.04,0.6,0.6,0.71
olsrd.csv,0.71,0.01,0.87,0.81,0.61,0.74,0.63,0.71,0.74,0.61
silvertree.csv,0.46,0.65,0.56,0.77,0.76,0.0,0.49,0.8,0.73,0.78
skia.csv,0.57,0.73,0.66,0.54,0.71,0.73,0.56,0.73,0.04,0.84
t-2.csv,0.87,0.85,0.84,0.76,0.96,0.86,0.95,0.08,0.9,0.73
