,empyrean.csv,amanda.csv,nutz.csv,bdbbasic.csv,gnome-jabber.csv
amanda.csv,0.32,0.23,0.48,0.57,0.0
bdbbasic.csv,0.5,0.65,0.53,0.18,0.0
empyrean.csv,0.32,0.0,0.0,0.0,0.0
gnome-jabber.csv,0.45,0.35,0.16,0.53,0.2
nutz.csv,0.47,0.72,0.18,0.8,0.8
