,empyrean.csv,amanda.csv,nutz.csv,bdbbasic.csv,gnome-jabber.csv
amanda.csv,0.64,0.67,0.37,0.43,0.0
bdbbasic.csv,0.44,0.63,0.38,0.6,0.18
empyrean.csv,0.78,0.0,0.0,0.0,0.0
gnome-jabber.csv,0.68,0.57,0.42,0.52,0.78
nutz.csv,0.49,0.43,0.65,0.22,0.86
