,opde.csv,mb-unit.csv,chipster.csv,delphilhlplib.csv,ivataopenportal.csv,pamguard.csv,jppf-project.csv,bigdata.csv,kolmafia.csv,quark.csv,tigermud.csv,emite.csv,l2j.csv,stajistics.csv,hydrate.csv,jfreechart.csv
bigdata.csv,0.53,0.92,0.58,0.85,0.68,0.78,0.96,0.94,0.71,0.33,0.77,0.61,0.84,0.47,0.78,0.02
chipster.csv,0.54,0.0,0.65,0.8,0.6,0.0,0.85,0.0,0.0,0.0,0.58,0.61,0.22,0.51,0.56,0.0
delphilhlplib.csv,0.49,0.92,0.56,0.93,0.65,0.77,0.82,0.94,0.71,0.33,0.74,0.64,0.8,0.47,0.78,0.02
emite.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.69,0.0,0.06,0.0,0.0
hydrate.csv,0.53,0.0,0.45,0.85,0.63,0.12,0.92,0.0,0.0,0.0,0.77,0.61,0.7,0.47,0.88,0.0
ivataopenportal.csv,0.42,0.22,0.53,0.85,0.71,0.61,0.7,0.21,0.0,0.36,0.66,0.61,0.52,0.48,0.74,0.0
jfreechart.csv,0.43,0.0,0.18,0.04,0.14,0.0,0.36,0.0,0.0,0.0,0.41,0.53,0.1,0.5,0.53,1.0
jppf-project.csv,0.53,0.92,0.57,0.87,0.66,0.78,0.98,0.94,0.71,0.33,0.76,0.61,0.82,0.47,0.76,0.02
kolmafia.csv,0.53,0.87,0.57,0.85,0.68,0.78,0.96,0.83,0.81,0.35,0.69,0.61,0.82,0.47,0.77,0.02
l2j.csv,0.51,0.47,0.56,0.85,0.61,0.71,0.89,0.54,0.62,0.26,0.76,0.59,0.87,0.51,0.77,0.0
mb-unit.csv,0.53,0.92,0.58,0.85,0.68,0.78,0.96,0.94,0.71,0.3,0.77,0.61,0.84,0.47,0.78,0.02
opde.csv,0.77,0.0,0.0,0.76,0.02,0.0,0.29,0.0,0.0,0.0,0.49,0.62,0.0,0.45,0.06,0.0
pamguard.csv,0.0,0.92,0.21,0.07,0.03,0.8,0.08,0.94,0.71,0.33,0.0,0.11,0.28,0.0,0.35,0.02
quark.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stajistics.csv,0.37,0.92,0.59,0.77,0.62,0.78,0.91,0.94,0.71,0.33,0.49,0.26,0.81,0.64,0.78,0.02
tigermud.csv,0.47,0.92,0.57,0.81,0.67,0.78,0.96,0.94,0.71,0.33,0.87,0.43,0.84,0.35,0.78,0.02
