,sabbu.csv,vxl.csv,jicarilla.csv,ossim.csv,zact.csv,optalgtoolkit.csv,projectts.csv,abbot.csv,haphazard.csv,qedo.csv,jruby.csv
abbot.csv,0.0,1.0,2.0,53.0,3.0,3.0,2.0,0.0,3.0,30.0,0.0
haphazard.csv,5.0,7.0,2.0,7.0,125.0,4.0,2.0,0.0,0.0,42.0,0.0
jicarilla.csv,111.0,150.0,0.0,281.0,0.0,49.0,63.0,61.0,0.0,260.0,0.0
jruby.csv,1.0,1.0,3.0,27.0,8.0,4.0,0.0,1.0,0.0,10.0,0.0
optalgtoolkit.csv,5.0,0.0,1.0,26.0,16.0,0.0,1.0,1.0,0.0,51.0,0.0
ossim.csv,111.0,150.0,69.0,0.0,125.0,49.0,63.0,61.0,64.0,260.0,144.0
projectts.csv,4.0,3.0,1.0,20.0,8.0,1.0,0.0,0.0,0.0,18.0,0.0
qedo.csv,1.0,8.0,69.0,281.0,125.0,0.0,0.0,61.0,0.0,0.0,0.0
sabbu.csv,0.0,8.0,1.0,16.0,3.0,0.0,0.0,2.0,2.0,20.0,0.0
vxl.csv,4.0,0.0,3.0,34.0,4.0,3.0,1.0,1.0,0.0,260.0,0.0
zact.csv,2.0,2.0,69.0,5.0,0.0,49.0,63.0,1.0,64.0,25.0,1.0
