,sabbu.csv,vxl.csv,jicarilla.csv,ossim.csv,zact.csv,optalgtoolkit.csv,projectts.csv,abbot.csv,haphazard.csv,qedo.csv,jruby.csv
abbot.csv,0.57,0.33,0.36,0.05,0.02,0.27,0.43,1.0,0.14,0.05,0.85
haphazard.csv,0.4,0.26,0.33,0.11,0.0,0.43,0.62,0.5,1.0,0.02,0.83
jicarilla.csv,0.0,0.0,1.0,0.0,0.25,0.0,0.0,0.0,1.0,0.0,1.0
jruby.csv,0.64,0.26,0.36,0.06,0.07,0.25,0.63,0.58,0.17,0.03,1.0
optalgtoolkit.csv,0.52,0.28,0.52,0.07,0.06,1.0,0.56,0.64,0.19,0.03,0.88
ossim.csv,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
projectts.csv,0.56,0.27,0.18,0.07,0.09,0.45,1.0,0.88,0.26,0.08,0.85
qedo.csv,0.25,0.11,0.0,0.0,0.0,1.0,0.5,0.0,1.0,1.0,1.0
sabbu.csv,0.98,0.26,0.85,0.09,0.04,0.36,0.73,0.53,0.08,0.04,0.85
vxl.csv,0.47,1.0,0.54,0.04,0.08,0.22,0.59,0.69,0.09,0.0,0.84
zact.csv,0.46,0.14,0.0,0.1,1.0,0.0,0.0,0.67,0.0,0.04,0.8
