,vdsf.csv,n2cms.csv,apolloplayer.csv,nuttx.csv,maidsafe-dht.csv,nug.csv,redshell.csv,nassp.csv,oppna-program-hsatools.csv,grisbi.csv,tcvp.csv,tart.csv,dspace-gsoc.csv,zabbix.csv,super-tux.csv,mesa3d.csv,ninject.csv,oorexx.csv,web-cat.csv
apolloplayer.csv,0.09,0.42,0.45,0.82,0.24,0.41,0.96,0.28,0.93,1.0,0.12,0.06,0.77,0.83,1.0,0.21,0.11,0.6,0.42
dspace-gsoc.csv,0.12,0.39,0.37,0.81,0.28,0.28,0.94,0.33,0.81,0.92,0.11,0.06,0.79,0.29,0.96,0.36,0.5,1.0,0.39
grisbi.csv,0.09,0.4,0.23,0.83,0.26,0.3,0.96,0.22,0.85,0.98,0.12,0.07,0.66,0.4,0.98,0.28,0.06,0.6,0.38
maidsafe-dht.csv,0.13,0.51,0.25,0.78,0.38,0.24,0.96,0.3,0.97,0.95,0.0,0.05,0.65,0.71,1.0,0.2,0.12,0.71,0.43
mesa3d.csv,0.16,0.31,0.0,0.77,0.22,0.32,0.94,0.37,0.8,1.0,0.11,0.08,0.79,0.2,0.98,0.34,0.0,0.67,0.5
n2cms.csv,0.13,0.63,0.27,0.82,0.31,0.24,0.94,0.27,0.88,0.89,0.11,0.06,0.63,0.38,0.98,0.21,0.12,0.61,0.38
nassp.csv,0.0,0.58,0.29,0.75,0.29,0.33,0.97,0.53,0.85,1.0,0.0,0.05,0.8,0.92,0.96,0.32,0.18,0.77,0.67
ninject.csv,0.02,0.39,0.33,0.94,0.15,0.47,0.89,0.12,0.86,0.85,0.0,0.02,0.62,0.21,0.91,0.27,0.38,0.63,0.47
nug.csv,0.09,0.44,0.26,0.86,0.17,0.61,1.0,0.21,0.82,0.0,0.12,0.02,0.68,0.27,0.98,0.15,0.07,0.62,0.5
nuttx.csv,0.19,0.57,0.33,0.88,0.38,0.32,0.95,0.36,0.61,1.0,0.13,0.06,0.86,0.38,0.97,0.22,0.0,0.75,0.53
oorexx.csv,0.19,0.29,0.3,0.85,0.33,0.27,0.96,0.37,0.53,0.91,0.12,0.1,1.0,0.74,0.97,0.39,0.0,0.74,0.5
oppna-program-hsatools.csv,0.09,0.44,0.23,0.8,0.2,0.35,0.96,0.21,0.97,0.94,0.0,0.06,0.63,0.36,0.96,0.22,0.07,0.59,0.37
redshell.csv,0.07,0.47,0.21,0.85,0.21,0.19,0.98,0.11,0.81,0.64,0.08,0.03,0.67,0.43,0.97,0.17,0.08,0.57,0.38
super-tux.csv,0.13,0.42,0.19,0.8,0.25,0.34,0.97,0.25,0.72,0.76,0.11,0.06,0.63,0.44,1.0,0.21,0.0,0.64,0.44
tart.csv,0.0,0.34,0.22,0.64,0.32,0.26,0.95,0.35,0.85,0.9,0.12,0.19,0.61,0.34,0.97,0.31,0.11,0.7,0.6
tcvp.csv,0.0,0.5,0.0,1.0,0.5,0.0,0.0,0.0,0.5,1.0,0.3,0.0,0.0,0.06,1.0,0.2,0.33,0.0,0.0
vdsf.csv,0.22,0.43,0.21,0.76,0.18,0.2,0.96,0.2,0.85,0.82,0.15,0.08,0.65,0.41,0.95,0.19,0.08,0.58,0.39
web-cat.csv,0.04,0.4,0.32,0.85,0.22,0.33,0.97,0.22,0.8,0.82,0.11,0.07,0.68,0.4,0.98,0.22,0.07,0.65,0.64
zabbix.csv,0.4,0.44,0.28,0.75,0.28,0.24,0.96,0.38,0.81,1.0,0.1,0.1,0.63,0.7,0.98,0.22,0.08,0.64,0.46
