,esmf.csv,pentahoanalysistool.csv,phet.csv,voms.csv,aztec.csv,qtractor.csv,acegisecurity.csv,bibedt.csv,kowari.csv,sumatrapdf.csv,irrlicht.csv,modellus.csv,open-data-kit.csv,roller.csv,ultimairis.csv,lportal.csv,jstock.csv,synergyspace.csv
acegisecurity.csv,0.85,0.55,0.86,0.55,0.44,0.52,0.07,0.83,0.66,0.62,0.69,0.52,0.63,0.55,0.73,0.47,0.66,0.76
aztec.csv,0.95,0.98,0.65,0.71,0.04,0.86,0.76,0.81,0.72,0.91,0.93,0.74,0.87,0.7,0.89,0.53,0.71,1.0
bibedt.csv,0.72,0.62,0.84,0.8,0.71,0.69,0.53,0.1,0.72,0.58,0.78,0.39,0.59,0.49,0.69,0.45,0.63,0.9
esmf.csv,0.09,0.72,0.77,0.93,0.97,0.88,0.65,0.85,0.78,0.92,0.72,0.91,0.92,0.55,0.99,0.78,0.79,0.77
irrlicht.csv,0.91,0.63,0.84,0.68,0.8,0.87,0.74,0.9,0.82,0.95,0.04,0.57,0.43,0.88,0.6,0.89,0.66,0.58
jstock.csv,0.73,0.8,0.93,1.0,0.88,0.51,0.8,0.73,0.86,0.81,0.81,0.88,0.7,0.75,0.77,0.77,0.0,0.97
kowari.csv,0.71,0.59,0.94,0.89,0.76,0.58,0.67,0.71,0.29,0.78,0.75,0.48,0.69,0.66,0.71,0.46,0.86,0.62
lportal.csv,0.76,0.81,0.91,1.0,0.7,0.73,0.82,1.02,0.87,0.77,0.84,0.79,0.85,0.93,0.72,0.16,0.67,0.73
modellus.csv,0.72,0.62,0.87,0.79,0.83,0.65,0.65,0.6,0.86,0.65,0.77,0.03,0.65,0.56,0.61,0.51,0.77,0.75
open-data-kit.csv,0.58,0.68,0.71,0.58,0.45,0.55,0.75,0.56,0.68,0.52,0.66,0.58,0.01,0.58,0.76,0.59,0.61,0.69
pentahoanalysistool.csv,0.88,0.0,0.87,1.0,0.91,0.84,0.68,1.0,0.86,0.91,0.91,0.67,0.89,0.73,0.96,0.87,0.93,0.63
phet.csv,0.94,1.0,0.09,0.73,0.99,0.94,0.93,0.93,1.0,1.1,0.79,0.92,1.01,0.92,0.99,0.97,0.94,0.87
qtractor.csv,0.58,0.49,0.83,0.63,0.71,0.04,0.62,0.71,0.78,0.68,0.63,0.45,0.68,0.42,0.73,0.49,0.62,0.88
roller.csv,0.56,0.55,0.79,0.42,0.42,0.67,0.57,0.69,0.62,0.61,0.8,0.47,0.49,0.02,0.94,0.52,0.68,0.62
sumatrapdf.csv,0.6,0.48,0.88,0.57,0.81,0.44,0.58,0.61,0.61,0.0,0.68,0.48,0.53,0.8,0.65,0.53,0.77,0.65
synergyspace.csv,0.88,0.75,0.92,0.89,1.0,0.89,0.93,1.0,1.01,0.91,0.93,0.86,0.95,0.87,1.0,0.82,0.88,0.04
ultimairis.csv,0.98,0.84,0.93,0.92,0.75,0.65,0.89,0.77,0.95,0.99,0.87,0.87,0.99,0.98,0.17,0.92,1.0,0.97
voms.csv,0.82,0.96,0.97,0.0,1.0,0.93,0.98,1.01,1.0,0.81,0.86,0.95,0.9,0.79,0.93,0.92,0.94,0.96
