,x4x.csv,mobicents.csv,jmol.csv,bnetd.csv,minig.csv,grisbi.csv,zabbix.csv,carabiner.csv,zxing.csv
bnetd.csv,0.69,0.8,0.75,0.92,0.63,0.76,0.75,0.32,0.8
carabiner.csv,0.6,0.55,0.76,0.31,0.52,0.58,0.48,1.0,0.64
grisbi.csv,0.86,0.83,0.88,0.67,0.89,0.98,0.65,0.59,0.95
jmol.csv,0.67,0.6,1.0,0.08,0.39,0.53,0.46,0.5,0.54
minig.csv,0.62,0.58,0.75,0.49,0.98,0.65,0.48,0.23,0.77
mobicents.csv,0.43,0.97,0.42,0.31,0.35,0.36,0.52,0.23,0.54
x4x.csv,0.98,0.76,0.57,0.69,0.85,0.82,0.54,0.45,0.86
zabbix.csv,0.81,0.92,0.85,0.87,0.87,0.76,0.98,0.55,0.95
zxing.csv,0.52,0.64,0.31,0.67,0.41,0.77,0.54,0.55,0.95
