,plearn.csv,re2c.csv,psrchive.csv,liferea.csv,aubit4gl.csv,opensim4opencog.csv,moving-pictures.csv,xfce.csv,rebecca-aiml.csv,adobe-source.csv
adobe-source.csv,0.51,0.26,0.33,0.0,0.0,0.21,0.5,0.79,0.15,0.48
aubit4gl.csv,0.5,0.3,0.17,0.0,0.69,0.07,0.64,0.56,0.52,0.67
liferea.csv,0.33,0.04,0.2,0.4,0.43,0.25,0.54,0.75,0.26,0.13
moving-pictures.csv,0.41,0.11,0.2,0.25,0.5,0.22,0.67,0.88,1.0,0.39
opensim4opencog.csv,0.45,0.06,0.23,0.37,0.57,0.22,0.56,0.83,0.59,0.27
plearn.csv,0.44,0.14,0.28,0.3,0.62,0.15,0.43,0.78,0.25,0.22
psrchive.csv,0.41,0.4,0.46,0.22,0.57,0.12,0.56,0.66,0.34,0.24
re2c.csv,0.37,0.86,0.17,0.24,0.52,0.08,0.51,0.74,0.39,0.12
rebecca-aiml.csv,0.33,0.17,0.21,0.24,0.57,0.13,0.5,0.79,0.73,0.29
xfce.csv,0.41,0.08,0.17,0.28,0.54,0.12,0.46,0.81,0.27,0.19
