,adaptagrams.csv,olsrd.csv,electric-core.csv,badtrinitycore.csv,opensim4opencog.csv,java-gnome.csv,miranda-icq.csv,t-2.csv,boost.csv,ofbiz.csv,xcf.csv
adaptagrams.csv,0.98,0.61,0.41,0.31,0.23,0.36,0.37,0.22,0.4,0.37,0.12
badtrinitycore.csv,0.21,0.0,0.25,0.91,0.13,0.0,0.03,0.08,0.11,0.61,0.5
boost.csv,0.67,0.6,0.4,0.2,0.24,0.31,0.3,0.26,0.97,0.43,0.55
electric-core.csv,0.28,0.71,0.94,0.2,0.21,0.58,0.4,0.15,0.2,0.57,0.45
java-gnome.csv,0.54,0.87,0.38,0.39,0.22,0.99,0.41,0.13,0.55,0.43,0.33
miranda-icq.csv,0.72,0.72,0.28,0.23,0.26,0.25,0.95,0.17,0.37,0.44,0.35
ofbiz.csv,0.62,0.52,0.13,0.23,0.21,0.0,0.21,0.26,0.46,0.98,0.25
olsrd.csv,0.76,0.99,0.36,0.22,0.28,0.79,0.42,0.23,0.44,0.63,0.54
opensim4opencog.csv,0.61,0.37,0.19,0.22,0.9,0.07,0.26,0.18,0.16,0.71,0.39
t-2.csv,0.33,0.37,0.3,0.29,0.15,0.26,0.18,0.95,0.48,0.18,0.27
xcf.csv,0.7,0.87,0.39,0.28,0.21,0.55,0.41,0.26,0.45,0.55,0.95
