,adaptagrams.csv,olsrd.csv,electric-core.csv,badtrinitycore.csv,opensim4opencog.csv,java-gnome.csv,miranda-icq.csv,t-2.csv,boost.csv,ofbiz.csv,xcf.csv
adaptagrams.csv,0.0,0.0,0.0,8.0,8.0,0.0,3.0,25.0,1.0,1.0,0.0
badtrinitycore.csv,0.0,87.0,7.0,0.0,1.0,72.0,5.0,88.0,4.0,5.0,2.0
boost.csv,2.0,0.0,12.0,7.0,2.0,0.0,4.0,52.0,0.0,2.0,7.0
electric-core.csv,1.0,0.0,0.0,9.0,9.0,0.0,1.0,157.0,0.0,3.0,2.0
java-gnome.csv,6.0,0.0,13.0,1.0,12.0,0.0,4.0,40.0,1.0,1.0,3.0
miranda-icq.csv,2.0,0.0,0.0,7.0,6.0,4.0,0.0,10.0,7.0,0.0,3.0
ofbiz.csv,8.0,1.0,1.0,6.0,3.0,72.0,0.0,19.0,0.0,0.0,3.0
olsrd.csv,2.0,0.0,33.0,0.0,19.0,0.0,2.0,41.0,2.0,3.0,0.0
opensim4opencog.csv,1.0,2.0,0.0,6.0,0.0,1.0,0.0,88.0,0.0,2.0,3.0
t-2.csv,3.0,0.0,6.0,5.0,7.0,0.0,5.0,0.0,1.0,0.0,5.0
xcf.csv,6.0,4.0,4.0,9.0,3.0,0.0,1.0,36.0,9.0,3.0,0.0
