,adaptagrams.csv,olsrd.csv,electric-core.csv,badtrinitycore.csv,opensim4opencog.csv,java-gnome.csv,miranda-icq.csv,t-2.csv,boost.csv,ofbiz.csv,xcf.csv
adaptagrams.csv,0.04,0.56,0.67,0.63,0.72,0.78,0.65,0.73,0.7,0.77,0.94
badtrinitycore.csv,0.88,1.0,0.8,0.13,0.88,1.0,0.98,0.93,0.94,0.6,0.73
boost.csv,0.48,0.78,0.57,0.69,0.62,0.82,0.74,0.57,0.05,0.76,0.6
electric-core.csv,0.83,0.82,0.09,0.77,0.67,0.61,0.66,0.8,0.87,0.62,0.69
java-gnome.csv,0.68,1.0,0.6,0.45,0.99,0.06,1.0,0.86,1.0,0.76,0.79
miranda-icq.csv,0.5,0.47,0.78,0.69,0.63,0.9,0.06,0.75,0.72,0.72,0.78
ofbiz.csv,0.66,0.65,0.91,0.74,0.71,1.01,0.84,0.6,0.63,0.04,0.85
olsrd.csv,0.63,0.03,0.76,0.66,0.55,0.57,0.64,0.64,0.7,0.73,0.61
opensim4opencog.csv,0.52,0.77,0.88,0.74,0.17,0.97,0.8,0.75,0.91,0.57,0.87
t-2.csv,0.79,0.95,0.73,0.64,0.82,0.86,0.87,0.08,0.65,0.9,0.85
xcf.csv,0.83,0.8,0.57,0.53,0.69,0.65,0.67,0.59,0.68,0.69,0.09
