,adaptagrams.csv,olsrd.csv,electric-core.csv,badtrinitycore.csv,opensim4opencog.csv,java-gnome.csv,miranda-icq.csv,t-2.csv,boost.csv,ofbiz.csv,xcf.csv
adaptagrams.csv,0.96,0.44,0.34,0.38,0.3,0.23,0.42,0.3,0.33,0.23,0.06
badtrinitycore.csv,0.12,0.0,0.21,0.87,0.13,0.0,0.02,0.19,0.06,0.52,0.5
boost.csv,0.65,0.5,0.5,0.57,0.48,0.19,0.4,0.61,0.95,0.31,0.5
electric-core.csv,0.19,0.68,0.91,0.72,0.52,0.44,0.63,0.27,0.13,0.45,0.34
java-gnome.csv,0.54,1.0,0.46,0.6,1.0,1.0,1.0,0.16,1.0,0.31,0.22
miranda-icq.csv,0.81,0.6,0.23,0.34,0.78,0.16,0.94,0.36,0.35,0.31,0.25
ofbiz.csv,0.69,0.35,0.1,0.28,0.35,0.0,0.17,0.47,0.42,0.98,0.16
olsrd.csv,0.96,0.97,0.82,0.68,0.65,0.74,0.69,0.58,0.52,0.59,0.47
opensim4opencog.csv,0.54,0.24,0.12,0.28,0.83,0.04,0.21,0.44,0.09,0.68,0.38
t-2.csv,0.23,0.26,0.29,0.38,0.22,0.16,0.15,0.92,0.56,0.1,0.19
xcf.csv,0.96,0.96,0.61,0.7,0.52,0.4,0.71,0.65,0.53,0.45,0.91
