,adaptagrams.csv,olsrd.csv,electric-core.csv,badtrinitycore.csv,opensim4opencog.csv,java-gnome.csv,miranda-icq.csv,t-2.csv,boost.csv,ofbiz.csv,xcf.csv
adaptagrams.csv,1.0,1.0,0.51,0.25,0.19,0.87,0.33,0.17,0.52,0.85,1.0
badtrinitycore.csv,1.0,0.0,0.32,0.95,0.13,0.0,0.17,0.05,0.56,0.75,0.5
boost.csv,0.68,0.74,0.33,0.12,0.16,0.85,0.24,0.17,0.99,0.67,0.62
electric-core.csv,0.5,0.75,0.97,0.12,0.13,0.86,0.29,0.1,0.4,0.76,0.65
java-gnome.csv,0.54,0.77,0.33,0.29,0.12,0.98,0.26,0.11,0.38,0.67,0.64
miranda-icq.csv,0.66,0.89,0.35,0.17,0.16,0.64,0.96,0.11,0.4,0.75,0.57
ofbiz.csv,0.56,0.96,0.17,0.19,0.15,0.0,0.28,0.18,0.52,0.98,0.62
olsrd.csv,0.62,1.0,0.23,0.13,0.17,0.84,0.3,0.14,0.38,0.67,0.62
opensim4opencog.csv,0.7,0.89,0.49,0.19,1.0,0.67,0.33,0.11,0.56,0.75,0.4
t-2.csv,0.6,0.6,0.3,0.23,0.11,0.75,0.23,0.99,0.42,0.72,0.46
xcf.csv,0.56,0.8,0.28,0.17,0.13,0.85,0.29,0.16,0.39,0.69,1.0
