,thrust.csv,k3b.csv,mp-rechnungs-und-kundenverwaltung.csv,fityk.csv
fityk.csv,0.12,0.48,0.85,0.7
k3b.csv,0.94,0.69,0.94,0.73
mp-rechnungs-und-kundenverwaltung.csv,0.0,0.22,0.6,0.23
thrust.csv,0.76,0.28,0.13,0.32
