,guineu.csv,owlib.csv,prelude.csv,owfs.csv,octave.csv,mpqc.csv,inkscape.csv,robocode.csv,checker-framework.csv,uwom-server.csv,nsis.csv,zengine.csv,zildo.csv,fluidium.csv,pamguard.csv
checker-framework.csv,0.15,0.32,0.1,0.0,0.05,0.0,0.16,0.26,1.0,0.14,0.02,0.11,0.18,0.05,0.51
fluidium.csv,0.08,0.14,0.21,0.27,0.45,0.3,0.0,0.26,0.08,0.23,0.53,0.29,0.11,1.0,0.12
guineu.csv,0.96,0.1,0.14,0.18,0.05,0.0,0.05,0.22,0.0,0.07,0.02,0.05,0.14,0.29,0.15
inkscape.csv,0.08,0.06,0.07,0.36,0.09,0.3,0.98,0.22,0.15,0.2,0.12,0.42,0.25,0.05,0.29
mpqc.csv,0.15,0.42,0.79,0.18,0.59,0.9,0.35,0.52,0.46,0.52,0.71,0.53,0.36,0.57,0.51
nsis.csv,0.5,0.67,0.83,0.73,0.86,0.95,0.86,0.43,0.31,0.84,0.99,0.82,0.57,0.95,0.73
octave.csv,0.69,0.37,0.38,0.55,0.95,0.05,0.3,0.61,0.54,0.05,0.02,0.03,0.57,0.05,0.42
owfs.csv,0.23,0.12,0.17,0.91,0.32,0.05,0.09,0.13,0.15,0.2,0.06,0.11,0.27,0.0,0.1
owlib.csv,0.58,0.96,0.9,1.0,0.64,0.35,0.4,0.61,0.77,0.46,0.79,0.47,0.64,0.81,0.41
pamguard.csv,0.73,0.52,0.93,0.91,0.27,0.35,0.19,0.52,0.62,0.21,0.14,0.32,0.73,0.29,0.98
prelude.csv,0.92,0.78,1.0,0.64,1.0,0.75,0.81,0.83,0.92,0.61,0.72,0.79,0.61,0.62,0.69
robocode.csv,0.62,0.41,0.21,0.55,0.14,0.35,0.12,0.96,0.54,0.41,0.13,0.11,0.64,0.1,0.47
uwom-server.csv,0.35,0.13,0.02,0.09,0.23,0.05,0.44,0.52,0.69,0.88,0.03,0.13,0.48,0.29,0.39
zengine.csv,0.88,0.86,1.0,0.91,0.77,0.8,0.91,0.78,0.85,0.82,0.6,0.92,0.93,0.67,0.86
zildo.csv,0.42,0.57,0.69,0.91,0.23,0.15,0.72,0.26,0.46,0.57,0.1,0.16,0.98,0.48,0.27
