,guineu.csv,owlib.csv,prelude.csv,owfs.csv,octave.csv,mpqc.csv,inkscape.csv,robocode.csv,checker-framework.csv,uwom-server.csv,nsis.csv,zengine.csv,zildo.csv,fluidium.csv,pamguard.csv
checker-framework.csv,0.44,0.49,1.0,0.0,0.11,0.0,0.88,0.67,1.0,0.35,0.67,0.8,0.67,0.25,0.65
fluidium.csv,0.25,0.57,0.53,0.2,0.2,0.12,0.0,0.35,0.03,0.24,0.92,0.85,0.5,1.0,0.7
guineu.csv,1.0,0.26,1.0,0.5,0.08,0.0,0.33,0.5,0.0,0.15,1.0,0.67,0.46,0.5,0.75
inkscape.csv,0.2,0.41,1.0,0.21,0.2,0.13,1.0,0.45,0.5,0.24,0.83,0.8,0.69,0.33,0.65
mpqc.csv,0.17,0.39,0.77,0.13,0.15,1.0,0.5,0.34,0.11,0.22,0.92,0.65,0.34,0.38,0.61
nsis.csv,0.24,0.33,0.76,0.15,0.17,0.16,0.56,0.43,0.08,0.24,1.0,0.72,0.4,0.48,0.64
octave.csv,0.4,0.47,0.89,0.21,1.0,0.05,0.57,0.47,0.15,0.1,0.67,1.0,0.57,0.25,0.66
owfs.csv,0.33,0.82,1.0,1.0,0.39,0.04,0.5,0.43,0.17,0.34,0.71,0.8,0.86,0.0,0.75
owlib.csv,0.38,1.0,0.79,0.19,0.13,0.1,0.55,0.41,0.18,0.28,0.92,0.78,0.58,0.47,0.77
pamguard.csv,0.3,0.42,0.78,0.24,0.22,0.26,0.44,0.46,0.18,0.15,1.0,0.92,0.58,0.6,1.0
prelude.csv,0.32,0.4,1.0,0.16,0.18,0.16,0.57,0.4,0.22,0.23,0.91,0.75,0.43,0.42,0.68
robocode.csv,0.39,0.49,1.0,0.19,0.23,0.37,0.42,1.0,0.25,0.33,0.85,0.8,0.64,0.5,0.7
uwom-server.csv,0.36,0.58,1.0,1.0,0.18,0.06,0.73,0.4,0.18,1.0,0.75,0.71,0.47,0.55,0.59
zengine.csv,0.3,0.42,0.79,0.18,0.27,0.17,0.61,0.53,0.33,0.26,0.93,1.0,0.55,0.39,0.63
zildo.csv,0.48,0.46,0.78,0.2,0.21,0.1,0.69,0.75,0.43,0.32,0.82,1.0,1.0,0.48,0.67
