,guineu.csv,owlib.csv,prelude.csv,owfs.csv,octave.csv,mpqc.csv,inkscape.csv,robocode.csv,checker-framework.csv,uwom-server.csv,nsis.csv,zengine.csv,zildo.csv,fluidium.csv,pamguard.csv
checker-framework.csv,0.89,0.78,0.75,0.5,0.89,0.95,0.88,0.67,0.69,0.96,0.67,0.8,0.92,0.75,0.48
fluidium.csv,0.88,0.96,0.94,0.93,0.63,0.57,0.5,0.88,0.97,0.87,0.72,0.92,0.9,0.67,0.9
guineu.csv,0.68,0.98,0.83,0.75,0.92,0.7,0.83,0.9,0.95,0.96,0.5,0.67,0.92,0.92,0.92
inkscape.csv,0.9,0.94,0.67,0.74,0.9,0.57,0.45,0.73,0.75,0.91,0.92,0.45,0.94,0.67,0.65
mpqc.csv,0.96,0.76,0.6,0.93,0.53,0.94,0.77,0.63,0.65,0.7,0.67,0.61,0.7,0.69,0.61
nsis.csv,0.46,0.48,0.54,0.45,0.41,0.47,0.41,0.57,0.65,0.46,0.49,0.44,0.49,0.52,0.42
octave.csv,0.56,0.67,0.61,0.5,0.9,0.95,0.7,0.57,0.71,0.97,0.67,0.0,0.52,0.75,0.53
owfs.csv,0.78,0.94,0.71,0.9,0.83,0.57,0.88,0.86,0.67,0.81,0.86,0.8,0.79,0.67,0.88
owlib.csv,0.41,0.56,0.48,0.4,0.42,0.49,0.48,0.5,0.62,0.52,0.55,0.74,0.4,0.58,0.58
pamguard.csv,0.35,0.58,0.52,0.61,0.93,0.96,0.89,0.5,0.66,0.79,0.92,0.92,0.42,0.9,0.43
prelude.csv,0.34,0.48,0.48,0.5,0.39,0.51,0.41,0.45,0.52,0.58,0.47,0.45,0.49,0.65,0.45
robocode.csv,0.46,0.71,0.67,0.38,0.92,0.95,0.92,0.55,0.57,0.57,0.85,0.8,0.43,0.75,0.47
uwom-server.csv,0.8,0.96,0.0,0.0,0.82,0.94,0.58,0.67,0.65,0.84,0.75,0.86,0.67,0.73,0.49
zengine.csv,0.29,0.4,0.49,0.37,0.43,0.52,0.31,0.32,0.39,0.39,0.38,0.43,0.34,0.36,0.31
zildo.csv,0.61,0.53,0.68,0.45,0.88,0.97,0.4,0.88,0.43,0.56,0.91,0.83,0.47,0.52,0.71
