,mule.csv,springside.csv,swtfox.csv,chaperon.csv,calcubetimer.csv,twostep.csv,geotools.csv,primefaces.csv,l2j.csv,nunit.csv
calcubetimer.csv,0.45,0.02,0.4,0.29,0.88,0.81,0.53,0.35,0.49,0.55
chaperon.csv,0.37,0.33,0.35,0.98,0.32,0.42,0.3,0.15,0.6,0.53
geotools.csv,0.66,0.58,0.52,0.28,0.0,0.66,0.64,0.63,0.36,0.59
l2j.csv,0.64,0.47,0.34,0.67,0.31,0.68,0.5,0.17,0.74,0.68
mule.csv,0.68,0.07,0.26,0.54,0.52,0.46,0.42,0.47,0.23,0.76
nunit.csv,0.43,0.64,0.24,0.29,0.34,0.39,0.5,0.43,0.41,0.75
primefaces.csv,0.35,0.57,0.0,0.65,0.58,0.0,0.63,0.84,0.53,0.59
springside.csv,0.67,0.82,0.41,0.57,0.6,0.74,0.68,0.56,0.47,0.65
swtfox.csv,0.39,0.48,0.71,0.39,0.13,0.15,0.22,0.0,0.39,0.32
twostep.csv,0.61,0.6,0.56,0.54,0.69,0.84,0.61,0.57,0.57,0.55
