,mule.csv,springside.csv,swtfox.csv,chaperon.csv,calcubetimer.csv,twostep.csv,geotools.csv,primefaces.csv,l2j.csv,nunit.csv
calcubetimer.csv,0.22,0.04,0.72,0.21,0.0,0.33,0.36,0.41,0.63,0.43
chaperon.csv,0.31,0.23,0.43,0.08,0.75,0.2,0.2,0.07,0.26,0.34
geotools.csv,0.55,0.23,0.77,0.5,1.0,0.69,0.35,0.67,0.21,0.64
l2j.csv,0.68,0.6,0.31,0.52,0.25,0.16,0.48,0.96,0.34,0.51
mule.csv,0.39,0.02,0.26,0.21,0.25,0.2,0.37,0.44,0.07,0.36
nunit.csv,0.21,0.3,0.57,0.23,0.0,0.29,0.33,0.37,0.32,0.24
primefaces.csv,0.9,0.75,1.0,0.58,0.5,1.0,0.61,0.22,0.41,0.64
springside.csv,0.49,0.25,0.55,0.71,0.25,0.22,0.58,0.74,0.16,0.22
swtfox.csv,0.41,0.79,0.25,0.79,0.5,0.11,0.29,1.0,0.21,0.32
twostep.csv,0.72,0.76,0.57,0.75,0.25,0.18,0.66,0.67,0.58,0.78
