,recall,precision,pf,cdom,bellwether
2,0.535,0.36,0.31,19,wow-qrsk.csv
23,0.52,0.425,0.39,6,rcp-company-uibindings.csv
31,0.805,0.375,0.26,3,k3d.csv
36,0.6,0.395,0.345,11,snakeyaml.csv
49,0.66,0.35,0.31,13,selenium.csv
1,0.86,0.49,0.24,0,atunes.csv
