,jmoney.csv,dxengine.csv,jsidplay2.csv,haggle.csv,mediate.csv,tmva.csv,matrex.csv,freedom-erp.csv,madman.csv,jchassis.csv,primefaces.csv
dxengine.csv,0.29,0.25,0.85,0.1,0.83,0.1,0.51,0.0,0.2,0.55,0.63
freedom-erp.csv,0.07,0.1,0.15,0.07,0.0,0.02,0.05,0.36,0.06,0.06,0.52
haggle.csv,0.24,0.55,0.1,0.39,0.3,0.23,0.19,0.04,0.18,0.24,0.37
jchassis.csv,0.0,0.0,0.05,0.0,0.0,0.0,0.04,0.0,0.0,0.08,0.0
jmoney.csv,0.17,0.45,0.3,0.34,0.43,0.43,0.07,0.19,0.45,0.24,0.04
jsidplay2.csv,0.59,0.67,0.2,0.71,0.6,0.33,0.4,0.96,0.67,0.55,0.56
madman.csv,0.02,0.27,0.6,0.2,0.2,0.22,0.23,0.01,0.24,0.41,0.56
matrex.csv,0.22,0.12,0.1,0.0,0.33,0.0,0.15,0.21,0.27,0.02,0.0
mediate.csv,0.61,0.25,0.3,0.54,0.57,0.35,0.84,0.76,0.2,0.65,0.52
primefaces.csv,0.8,0.98,0.4,1.0,0.57,1.0,0.37,0.1,1.0,0.71,0.26
tmva.csv,0.88,0.65,1.0,0.83,1.0,0.32,1.0,1.0,0.51,0.74,0.81
