,jmoney.csv,dxengine.csv,jsidplay2.csv,haggle.csv,mediate.csv,tmva.csv,matrex.csv,freedom-erp.csv,madman.csv,jchassis.csv,primefaces.csv
dxengine.csv,7.0,0.0,3.0,1.0,2.0,1.0,4.0,166.0,1.0,67.0,2.0
freedom-erp.csv,0.0,2.0,1.0,3.0,0.0,0.0,1.0,0.0,3.0,67.0,0.0
haggle.csv,1.0,0.0,1.0,0.0,1.0,0.0,3.0,3.0,0.0,67.0,0.0
jchassis.csv,60.0,77.0,78.0,114.0,0.0,225.0,2.0,166.0,56.0,2.0,66.0
jmoney.csv,0.0,0.0,0.0,2.0,0.0,3.0,1.0,2.0,12.0,67.0,0.0
jsidplay2.csv,9.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,16.0,4.0,2.0
madman.csv,1.0,5.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,67.0,0.0
matrex.csv,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,67.0,0.0
mediate.csv,13.0,1.0,1.0,0.0,3.0,0.0,2.0,1.0,6.0,10.0,1.0
primefaces.csv,13.0,5.0,2.0,0.0,4.0,0.0,1.0,5.0,25.0,9.0,1.0
tmva.csv,18.0,4.0,3.0,0.0,2.0,0.0,2.0,1.0,8.0,67.0,1.0
