,jmoney.csv,dxengine.csv,jsidplay2.csv,haggle.csv,mediate.csv,tmva.csv,matrex.csv,freedom-erp.csv,madman.csv,jchassis.csv,primefaces.csv
dxengine.csv,0.64,0.43,0.55,0.92,0.43,0.76,0.48,0.0,0.6,0.67,0.5
freedom-erp.csv,0.5,0.9,0.59,0.8,0.0,0.91,0.6,0.34,0.75,0.75,0.42
haggle.csv,0.56,0.36,0.67,0.37,0.52,0.47,0.94,0.75,0.53,0.5,0.41
jchassis.csv,0.0,0.0,0.0,0.0,0.75,0.0,0.83,0.0,0.0,0.86,0.0
jmoney.csv,0.42,0.36,0.39,0.4,0.37,0.42,0.95,0.78,0.34,0.5,0.83
jsidplay2.csv,0.36,0.5,0.38,0.54,0.39,0.61,0.4,0.3,0.46,0.57,0.52
madman.csv,0.67,0.62,0.75,0.51,0.9,0.64,0.83,0.75,0.45,0.67,0.41
matrex.csv,0.48,0.62,0.5,0.83,0.5,0.94,0.45,0.64,0.44,0.0,0.5
mediate.csv,0.44,0.61,0.52,0.57,0.43,0.56,0.38,0.4,0.69,0.64,0.57
primefaces.csv,0.33,0.4,0.47,0.48,0.38,0.44,0.38,0.9,0.4,0.57,0.51
tmva.csv,0.36,0.42,0.38,0.44,0.32,0.47,0.34,0.31,0.41,0.45,0.32
