,adaptagrams.csv,lazarus-ccr.csv,redshell.csv,intact.csv,rohxel.csv,japano.csv,red5.csv,pustefix.csv,officefloor.csv,toped.csv,customsagetv.csv,roolo.csv,xreal.csv,glas.csv,jas.csv,primefaces.csv
adaptagrams.csv,0.99,0.1,0.21,0.2,0.18,0.2,0.32,0.16,0.34,0.35,0.0,0.12,0.0,0.0,0.0,0.06
customsagetv.csv,0.61,0.1,0.19,0.04,0.36,0.27,0.45,0.05,0.21,0.12,0.98,0.06,0.24,0.0,0.61,0.02
glas.csv,0.44,0.46,0.32,0.4,0.54,0.43,0.48,0.47,0.21,0.39,0.46,0.43,0.61,0.98,0.54,0.47
intact.csv,0.47,0.47,0.2,0.98,0.56,0.34,0.22,0.26,0.59,0.36,0.69,0.39,0.0,0.1,0.64,0.21
japano.csv,0.54,0.37,0.36,0.46,0.5,1.0,0.47,0.37,0.13,0.0,0.27,0.13,0.43,0.09,0.61,0.54
jas.csv,0.0,0.0,0.09,0.31,0.18,0.1,0.17,0.2,0.06,0.07,0.47,0.34,0.0,0.0,0.9,0.02
lazarus-ccr.csv,0.41,1.0,0.68,0.41,0.33,0.44,0.41,0.37,0.42,0.58,0.2,0.63,0.27,0.48,0.39,0.66
officefloor.csv,0.27,0.41,0.38,0.55,0.31,0.54,0.4,0.51,0.78,0.52,0.71,0.58,0.54,0.0,0.43,0.56
primefaces.csv,0.46,0.05,0.37,0.52,0.54,0.31,0.52,0.6,0.5,0.0,0.46,0.42,0.35,0.45,0.48,0.98
pustefix.csv,0.7,0.1,0.16,0.41,0.48,0.55,0.4,0.97,0.49,0.66,0.81,0.57,0.24,0.1,0.7,0.42
red5.csv,0.46,0.27,0.44,0.63,0.62,0.32,1.0,0.55,0.51,0.62,0.27,0.46,0.54,0.71,0.48,0.61
redshell.csv,0.0,0.73,0.97,0.17,0.44,0.38,0.0,0.38,0.0,0.65,0.46,0.46,0.3,0.09,0.13,0.36
rohxel.csv,0.5,0.59,0.38,0.65,1.0,0.55,0.52,0.47,0.74,0.38,0.4,0.51,0.49,0.0,0.41,0.44
roolo.csv,0.1,0.54,0.31,0.23,0.1,0.21,0.32,0.16,0.16,0.05,0.12,1.0,0.24,0.04,0.4,0.18
toped.csv,0.45,0.43,0.57,0.37,0.16,0.0,0.52,0.46,0.35,0.98,0.38,0.38,0.13,0.09,0.05,0.53
xreal.csv,0.15,0.24,0.04,0.0,0.18,0.06,0.06,0.05,0.0,0.0,0.32,0.0,1.0,0.0,0.0,0.02
