,adaptagrams.csv,olsrd.csv,electric-core.csv,badtrinitycore.csv,aime.csv,geochat.csv
adaptagrams.csv,0.98,0.67,0.34,0.26,0.22,0.22
aime.csv,0.51,0.76,0.43,0.36,1.0,0.18
badtrinitycore.csv,0.07,0.36,0.17,0.96,0.21,0.21
electric-core.csv,0.49,0.7,0.95,0.19,0.23,0.34
geochat.csv,0.69,0.79,0.26,0.11,0.25,0.95
olsrd.csv,0.72,0.99,0.37,0.22,0.36,0.37
