,adaptagrams.csv,olsrd.csv,electric-core.csv,badtrinitycore.csv,aime.csv,geochat.csv
adaptagrams.csv,0.96,0.51,0.26,0.38,0.14,0.2
aime.csv,0.35,0.69,0.77,0.79,1.0,0.27
badtrinitycore.csv,0.04,0.22,0.11,0.91,0.29,0.13
electric-core.csv,0.35,0.63,0.93,0.64,0.43,0.5
geochat.csv,0.73,0.72,0.44,0.3,0.64,0.9
olsrd.csv,1.0,0.99,0.9,0.91,0.86,0.6
