,fontforge.csv,jfreereport.csv,freelords.csv,super-tux.csv
fontforge.csv,0.03,0.59,0.21,0.4
freelords.csv,0.23,0.74,0.04,0.0
jfreereport.csv,0.0,0.0,0.36,0.2
super-tux.csv,1.0,0.51,0.43,0.0
