,gpsmid.csv,emftriple.csv,fluent-nhibernate.csv,columba.csv
columba.csv,0.64,0.11,0.77,0.95
emftriple.csv,0.0,1.0,0.0,0.46
fluent-nhibernate.csv,0.39,0.0,0.95,0.16
gpsmid.csv,0.95,0.11,0.8,0.41
