,paintown.csv,triplea.csv,fbmanager.csv,google-caja.csv,myfaces.csv,k3b.csv,dspace-gsoc.csv,itext.csv,powerfolder.csv,smartgwt.csv,fido.csv,megameknet.csv,fityk.csv,ondex.csv,poormans.csv,fleet-simulator.csv,hibernate.csv,ninject.csv
dspace-gsoc.csv,0.63,0.53,0.72,0.27,0.75,0.62,0.71,0.63,0.13,0.45,0.09,0.65,0.61,0.67,0.58,0.97,0.05,0.24
fbmanager.csv,0.0,0.0,0.71,0.0,0.0,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72,0.13,0.0,0.33
fido.csv,0.0,0.11,0.0,0.37,0.0,0.02,0.0,0.0,0.0,0.01,0.97,0.0,0.0,0.07,0.0,0.24,0.23,0.0
fityk.csv,0.58,0.61,0.62,0.67,0.65,0.39,0.48,0.63,0.23,0.26,0.0,0.58,0.68,0.55,0.52,0.26,0.58,0.62
fleet-simulator.csv,0.27,0.34,0.0,0.53,0.72,0.0,0.53,0.13,0.49,0.45,0.41,0.58,0.44,0.05,0.71,0.97,0.59,0.56
google-caja.csv,0.68,0.53,0.66,0.77,0.21,0.59,0.47,0.7,0.41,0.68,0.3,0.69,0.58,0.17,0.81,0.72,0.6,0.56
hibernate.csv,0.54,0.49,0.54,0.58,0.47,0.52,0.6,0.34,0.64,0.38,0.9,0.65,0.58,0.61,0.68,0.42,0.55,0.55
itext.csv,0.6,0.2,0.72,0.0,0.45,0.56,0.54,0.75,0.61,0.72,0.75,0.69,0.66,0.46,0.78,0.67,0.66,0.43
k3b.csv,0.63,0.55,0.42,0.49,0.46,0.66,0.38,0.73,0.67,0.13,0.44,0.61,0.52,0.44,0.2,0.0,0.59,0.39
megameknet.csv,0.59,0.64,0.66,0.17,0.52,0.65,0.5,0.64,0.39,0.21,0.0,0.66,0.66,0.56,0.37,0.36,0.55,0.55
myfaces.csv,0.54,0.43,0.52,0.43,0.75,0.49,0.4,0.34,0.72,0.74,0.73,0.57,0.51,0.63,0.46,0.74,0.55,0.59
ninject.csv,0.46,0.5,0.34,0.42,0.27,0.25,0.46,0.54,0.55,0.72,0.53,0.3,0.43,0.14,0.18,0.0,0.24,0.97
ondex.csv,0.39,0.29,0.25,0.17,0.64,0.39,0.29,0.18,0.38,0.12,0.28,0.43,0.46,0.55,0.67,0.31,0.38,0.44
paintown.csv,0.73,0.65,0.58,0.0,0.21,0.58,0.66,0.55,0.33,0.13,0.38,0.05,0.66,0.27,0.43,0.0,0.36,0.0
poormans.csv,0.11,0.5,0.04,0.36,0.61,0.28,0.2,0.57,0.45,0.29,0.0,0.38,0.17,0.34,0.75,0.05,0.28,0.24
powerfolder.csv,0.49,0.23,0.59,0.18,0.58,0.55,0.35,0.18,0.98,0.44,0.53,0.55,0.45,0.28,0.43,0.42,0.47,0.23
smartgwt.csv,0.59,0.58,0.7,0.0,0.62,0.6,0.34,0.21,0.96,0.75,0.59,0.53,0.58,0.55,0.65,0.07,0.48,0.38
triplea.csv,0.61,0.69,0.64,0.59,0.17,0.69,0.6,0.7,0.56,0.64,0.24,0.62,0.69,0.61,0.51,0.97,0.58,0.4
