,nova.csv,crisscross.csv,mb-unit.csv,libopenmetaverse.csv,betoffice.csv,ldview.csv,mvdsv.csv,jitterbit.csv,tolven.csv,gwanted.csv,codepurge.csv,olex2.csv,elvishrayrenderer.csv
betoffice.csv,0.75,0.95,0.95,0.88,0.6,0.94,0.9,0.99,0.79,0.97,0.97,0.94,0.7
codepurge.csv,0.0,0.83,0.98,0.67,0.83,0.55,0.46,0.83,0.48,0.93,0.95,0.71,0.5
crisscross.csv,0.52,0.89,0.74,0.62,0.86,0.83,0.65,0.84,0.65,0.9,0.96,0.62,0.63
elvishrayrenderer.csv,0.82,0.52,0.56,0.38,0.54,0.51,0.36,0.51,0.33,0.62,0.59,0.41,0.45
gwanted.csv,0.75,0.0,0.53,0.67,0.0,0.0,0.64,0.4,0.94,0.96,0.0,0.91,0.0
jitterbit.csv,0.68,0.84,0.71,0.53,0.92,0.67,0.52,0.72,0.46,0.73,0.94,0.63,0.59
ldview.csv,0.92,0.86,0.69,0.59,0.93,0.7,0.67,0.75,0.88,0.85,0.76,0.85,0.53
libopenmetaverse.csv,0.67,0.55,0.5,0.53,0.4,0.47,0.39,0.39,0.38,0.45,0.51,0.44,0.39
mb-unit.csv,0.83,0.55,0.45,0.64,0.37,0.83,0.33,0.47,0.43,0.47,0.67,0.4,0.43
mvdsv.csv,0.0,0.0,0.0,0.5,0.0,0.67,0.83,0.67,0.0,0.0,0.0,0.0,0.0
nova.csv,0.69,0.64,0.72,0.72,0.85,0.83,0.59,0.81,0.45,0.67,0.83,0.54,0.42
olex2.csv,0.88,0.74,0.53,0.45,0.55,0.54,0.44,0.51,0.5,0.45,0.93,0.49,0.38
tolven.csv,0.7,0.6,0.63,0.54,0.91,0.6,0.58,0.45,0.58,0.44,0.53,0.61,0.65
