,nova.csv,crisscross.csv,mb-unit.csv,libopenmetaverse.csv,betoffice.csv,ldview.csv,mvdsv.csv,jitterbit.csv,tolven.csv,gwanted.csv,codepurge.csv,olex2.csv,elvishrayrenderer.csv
betoffice.csv,0.15,0.19,0.22,0.08,0.96,0.14,0.0,0.15,0.3,0.25,0.12,0.12,0.32
codepurge.csv,0.08,0.29,0.11,0.25,0.07,0.29,0.67,0.37,0.68,0.14,0.88,0.32,0.38
crisscross.csv,0.54,0.86,0.27,0.39,0.22,0.24,0.0,0.24,0.43,0.29,0.25,0.42,0.32
elvishrayrenderer.csv,0.38,0.76,0.63,0.83,0.4,0.76,1.0,0.67,0.92,0.57,0.58,0.7,0.97
gwanted.csv,0.15,0.0,0.69,0.08,0.0,0.0,0.67,0.91,0.24,0.89,0.0,0.05,0.03
jitterbit.csv,0.38,0.43,0.38,0.53,0.09,0.57,0.67,0.97,0.62,0.5,0.21,0.42,0.41
ldview.csv,0.31,0.38,0.54,0.44,0.09,0.86,0.67,0.54,0.24,0.61,0.33,0.23,0.56
libopenmetaverse.csv,0.15,0.48,0.62,1.0,0.93,0.57,1.0,0.84,0.84,0.64,0.79,0.55,0.65
mb-unit.csv,0.31,0.57,1.0,0.36,0.91,0.05,1.0,0.41,0.65,0.68,0.46,0.6,0.53
mvdsv.csv,0.0,0.0,0.0,0.03,0.0,0.1,1.0,0.01,0.0,0.0,0.0,0.02,0.03
nova.csv,1.0,0.52,0.23,0.14,0.13,0.1,0.0,0.4,0.65,0.36,0.5,0.5,0.5
olex2.csv,0.23,0.33,0.42,0.56,0.4,0.29,0.67,0.51,0.57,0.57,0.08,0.97,0.47
tolven.csv,0.62,0.43,0.43,0.58,0.27,0.71,0.67,0.8,0.97,0.79,0.62,0.38,0.41
